dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.001506 1.499850 0.000000 0.000000 1.505809 0.112769 0.000000 0.799296 7.142062 7.029750 6.970565 6.936868 -0.146009
0.016557 1.499850 0.000000 0.000000 1.504488 0.082088 -0.000132 0.799296 7.142062 7.029750 6.970565 6.936868 -0.146009
0.031592 1.499850 0.000000 0.000000 1.502602 0.056873 -0.000060 0.799296 7.142062 7.029750 6.970565 6.936868 -0.146009
0.046606 1.499850 0.000000 0.000000 1.500398 0.051080 -0.000119 0.799296 7.142062 7.029750 6.970565 6.936868 -0.146009
0.061598 1.499850 0.000000 0.000000 1.498113 0.070621 -0.000158 0.799296 7.142062 7.029750 6.970565 6.936868 -0.146009
0.076566 1.492921 0.000079 0.000001 1.495867 0.045780 -0.000249 0.818830 7.199388 7.116867 7.027000 7.024227 -0.085294
0.091513 1.492921 0.000079 0.000001 1.493825 0.027359 -0.000283 0.818830 7.199388 7.116867 7.027000 7.024227 -0.085294
0.106442 1.492921 0.000079 0.000001 1.492167 0.012795 -0.000366 0.818830 7.199388 7.116867 7.027000 7.024227 -0.085294
0.121357 1.492921 0.000079 0.000001 1.491058 0.002358 -0.000404 0.818830 7.199388 7.116867 7.027000 7.024227 -0.085294
0.136265 1.492921 0.000079 0.000001 1.490589 0.009262 -0.000467 0.818830 7.199388 7.116867 7.027000 7.024227 -0.085294
0.151171 1.489571 0.000092 0.000001 1.490788 0.003444 -0.000516 0.864175 7.235872 7.213977 7.062370 7.122788 0.038524
0.166083 1.489571 0.000092 0.000001 1.491605 0.023029 -0.000571 0.864175 7.235872 7.213977 7.062370 7.122788 0.038524
0.181006 1.489571 0.000092 0.000001 1.492841 0.016919 -0.000600 0.864175 7.235872 7.213977 7.062370 7.122788 0.038524
0.195941 1.489571 0.000092 0.000001 1.494132 0.004353 -0.000653 0.864175 7.235872 7.213977 7.062370 7.122788 0.038524
0.210888 1.489571 0.000092 0.000001 1.495088 -0.004190 -0.000682 0.864175 7.235872 7.213977 7.062370 7.122788 0.038524
0.225842 1.496244 0.000106 0.000001 1.495450 -0.052538 -0.000783 0.909216 7.309849 7.349547 7.134900 7.259579 0.164377
0.240795 1.496244 0.000106 0.000001 1.495188 -0.056397 -0.000801 0.909216 7.309849 7.349547 7.134900 7.259579 0.164377
0.255743 1.496244 0.000106 0.000001 1.494417 -0.085725 -0.000871 0.909216 7.309849 7.349547 7.134900 7.259579 0.164377
0.270681 1.496244 0.000106 0.000001 1.493146 -0.119671 -0.000936 0.909216 7.309849 7.349547 7.134900 7.259579 0.164377
0.285603 1.496244 0.000106 0.000001 1.491401 -0.125536 -0.000990 0.909216 7.309849 7.349547 7.134900 7.259579 0.164377
0.300506 1.492815 0.000122 0.000001 1.489299 -0.123633 -0.001177 0.909216 7.309849 7.349547 7.134900 7.259579 0.164377
0.315386 1.492815 0.000122 0.000001 1.487023 -0.137554 -0.001225 0.964643 7.394457 7.509959 7.217800 7.421564 0.319266
