dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.001008 1.021195 0.000000 0.000000 1.009833 1.085827 0.000000 -0.797848 6.639093 5.409230 6.646378 5.409230 -2.467011
0.011089 1.021195 0.000000 0.000000 1.009272 1.086022 0.000137 -0.797848 6.639093 5.409230 6.646378 5.409230 -2.467011
0.021170 1.021195 0.000000 0.000000 1.009546 1.089013 0.000174 -0.797848 6.639093 5.409230 6.646378 5.409230 -2.467011
0.031252 1.021195 0.000000 0.000000 1.009917 1.067885 0.000221 -0.797848 6.639093 5.409230 6.646378 5.409230 -2.467011
0.041331 1.021195 0.000000 0.000000 1.009682 1.066377 0.000275 -0.797848 6.639093 5.409230 6.646378 5.409230 -2.467011
0.051409 1.020877 0.000076 0.000001 1.010319 1.066143 0.000325 -0.830352 6.601616 5.340315 6.607489 5.340315 -2.528475
0.061491 1.020877 0.000076 0.000001 1.011033 1.032497 0.000466 -0.830352 6.601616 5.340315 6.607489 5.340315 -2.528475
0.071576 1.020877 0.000076 0.000001 1.011823 1.026716 0.000672 -0.830352 6.601616 5.340315 6.607489 5.340315 -2.528475
0.081662 1.020877 0.000076 0.000001 1.012663 1.025772 0.000693 -0.830352 6.601616 5.340315 6.607489 5.340315 -2.528475
0.091748 1.020877 0.000076 0.000001 1.012813 1.017896 0.000783 -0.830352 6.601616 5.340315 6.607489 5.340315 -2.528475
0.101836 1.021634 0.000084 0.000001 1.013701 1.039288 0.000904 -0.829604 6.484830 5.238648 6.486885 5.238648 -2.494419
0.111926 1.021634 0.000084 0.000001 1.014493 1.070154 0.000999 -0.829604 6.484830 5.238648 6.486885 5.238648 -2.494419
0.122015 1.021634 0.000084 0.000001 1.015143 1.069403 0.001028 -0.829604 6.484830 5.238648 6.486885 5.238648 -2.494419
0.132103 1.021634 0.000084 0.000001 1.015640 1.075052 0.001111 -0.829604 6.484830 5.238648 6.486885 5.238648 -2.494419
0.142192 1.021634 0.000084 0.000001 1.015220 1.071684 0.001205 -0.829604 6.484830 5.238648 6.486885 5.238648 -2.494419
0.152283 1.021710 0.000092 0.000001 1.016065 1.099938 0.001282 -0.864544 6.403242 5.142982 6.400860 5.142982 -2.518139
0.162375 1.021710 0.000092 0.000001 1.015233 1.095076 0.001442 -0.864544 6.403242 5.142982 6.400860 5.142982 -2.518139
0.172467 1.021710 0.000092 0.000001 1.015000 1.073138 0.001647 -0.864544 6.403242 5.142982 6.400860 5.142982 -2.518139
0.182555 1.021710 0.000092 0.000001 1.013956 1.062947 0.001719 -0.864544 6.403242 5.142982 6.400860 5.142982 -2.518139
0.192644 1.021710 0.000092 0.000001 1.013577 1.046741 0.001795 -0.864544 6.403242 5.142982 6.400860 5.142982 -2.518139
0.202727 1.021000 0.000101 0.000001 1.012513 1.033594 0.001885 -0.865306 6.409282 5.162714 6.404007 5.162714 -2.487862
0.212810 1.021000 0.000101 0.000001 1.012256 1.007068 0.001940 -0.865306 6.409282 5.162714 6.404007 5.162714 -2.487862
0.222889 1.021000 0.000101 0.000001 1.010661 0.970712 0.002044 -0.865306 6.409282 5.162714 6.404007 5.162714 -2.487862
0.232963 1.021000 0.000101 0.000001 1.010002 0.948268 0.002139 -0.865306 6.409282 5.162714 6.404007 5.162714 -2.487862
0.243035 1.021000 0.000101 0.000001 1.010263 0.939169 0.002198 -0.865306 6.409282 5.162714 6.404007 5.162714 -2.487862
0.253104 1.018495 0.000112 0.000001 1.009976 0.903032 0.002280 -0.796991 6.391850 5.225543 6.385124 5.225543 -2.325888
0.263178 1.018495 0.000112 0.000001 1.010497 0.902250 0.002359 -0.796991 6.391850 5.225543 6.385124 5.225543 -2.325888
0.273255 1.018495 0.000112 0.000001 1.011060 0.875283 0.002449 -0.796991 6.391850 5.225543 6.385124 5.225543 -2.325888
0.283333 1.018495 0.000112 0.000001 1.011656 0.874557 0.002491 -0.796991 6.391850 5.225543 6.385124 5.225543 -2.325888
0.293415 1.018495 0.000112 0.000001 1.012212 0.885713 0.002532 -0.796991 6.391850 5.225543 6.385124 5.225543 -2.325888
0.303496 1.019901 0.000123 0.000001 1.011971 0.888587 0.002531 -0.752500 6.335866 5.241745 6.328377 5.241745 -2.180753
0.313581 1.019901 0.000123 0.000001 1.013064 0.901098 0.002553 -0.752500 6.335866 5.241745 6.328377 5.241745 -2.180753
0.323667 1.019901 0.000123 0.000001 1.013282 0.906133 0.002641 -0.752500 6.335866 5.241745 6.328377 5.241745 -2.180753
0.333758 1.019901 0.000123 0.000001 1.013345 0.915388 0.002663 -0.752500 6.335866 5.241745 6.328377 5.241745 -2.180753
0.343851 1.019901 0.000123 0.000001 1.013266 0.915456 0.002700 -0.752500 6.335866 5.241745 6.328377 5.241745 -2.180753
0.353951 1.021501 0.000136 0.000001 1.013771 0.923625 0.002810 -0.764578 6.321080 5.248079 6.313056 5.248079 -2.137978
0.364049 1.021501 0.000136 0.000001 1.013477 0.916566 0.002947 -0.764578 6.321080 5.248079 6.313056 5.248079 -2.137978
0.374150 1.021501 0.000136 0.000001 1.013136 0.909049 0.002977 -0.764578 6.321080 5.248079 6.313056 5.248079 -2.137978
0.384253 1.021501 0.000136 0.000001 1.012798 0.898625 0.003015 -0.764578 6.321080 5.248079 6.313056 5.248079 -2.137978
0.394354 1.021501 0.000136 0.000001 1.012538 0.876743 0.003021 -0.764578 6.321080 5.248079 6.313056 5.248079 -2.137978
0.404456 1.021696 0.000150 0.000001 1.012349 0.878628 0.003052 -0.768213 6.349985 5.293421 6.341869 5.293421 -2.105012
0.414555 1.021696 0.000150 0.000001 1.011556 0.857871 0.003083 -0.768213 6.349985 5.293421 6.341869 5.293421 -2.105012
0.424650 1.021696 0.000150 0.000001 1.010897 0.824503 0.003115 -0.768213 6.349985 5.293421 6.341869 5.293421 -2.105012
0.434745 1.021696 0.000150 0.000001 1.011086 0.819356 0.003136 -0.768213 6.349985 5.293421 6.341869 5.293421 -2.105012
0.444836 1.021696 0.000150 0.000001 1.010674 0.791891 0.003204 -0.768213 6.349985 5.293421 6.341869 5.293421 -2.105012
0.454925 1.019708 0.000165 0.000001 1.011115 0.795657 0.003242 -0.727223 6.315771 5.313599 6.308072 5.313599 -1.996645
0.465010 1.019708 0.000165 0.000001 1.010919 0.763521 0.003222 -0.727223 6.315771 5.313599 6.308072 5.313599 -1.996645
0.475090 1.019708 0.000165 0.000001 1.010839 0.748803 0.003256 -0.727223 6.315771 5.313599 6.308072 5.313599 -1.996645
0.485162 1.019708 0.000165 0.000001 1.010120 0.766396 0.003285 -0.727223 6.315771 5.313599 6.308072 5.313599 -1.996645
0.495230 1.019708 0.000165 0.000001 1.010159 0.763064 0.003268 -0.727223 6.315771 5.313599 6.308072 5.313599 -1.996645
0.505287 1.016720 0.000182 0.000002 1.008748 0.758924 0.003251 -0.678195 6.240574 5.303839 6.233321 5.303839 -1.866217
0.515332 1.016720 0.000182 0.000002 1.008079 0.748138 0.003213 -0.678195 6.240574 5.303839 6.233321 5.303839 -1.866217
0.525364 1.016720 0.000182 0.000002 1.006670 0.760880 0.003273 -0.678195 6.240574 5.303839 6.233321 5.303839 -1.866217
0.535387 1.016720 0.000182 0.000002 1.005964 0.739285 0.003241 -0.678195 6.240574 5.303839 6.233321 5.303839 -1.866217
0.545398 1.016720 0.000182 0.000002 1.004507 0.758393 0.003330 -0.678195 6.240574 5.303839 6.233321 5.303839 -1.866217
0.555402 1.010969 0.000200 0.000002 1.003747 0.744629 0.003317 -0.653232 6.190358 5.297873 6.183569 5.297873 -1.778181
0.565398 1.010969 0.000200 0.000002 1.002231 0.724411 0.003376 -0.653232 6.190358 5.297873 6.183569 5.297873 -1.778181
0.575386 1.010969 0.000200 0.000002 1.000748 0.690562 0.003309 -0.653232 6.190358 5.297873 6.183569 5.297873 -1.778181
0.585371 1.010969 0.000200 0.000002 1.000801 0.672707 0.003262 -0.653232 6.190358 5.297873 6.183569 5.297873 -1.778181
0.595350 1.010969 0.000200 0.000002 0.999499 0.654466 0.003246 -0.653232 6.190358 5.297873 6.183569 5.297873 -1.778181
0.605328 1.007849 0.000220 0.000002 0.999056 0.654534 0.003196 -0.597793 6.183520 5.353748 6.177372 5.353748 -1.653396
