dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.001000 1.042033 0.000000 0.000000 0.983425 1.641644 0.000000 -2.595103 9.274018 7.642052 9.161822 7.525618 -3.268169
0.011001 1.042033 0.000000 0.000000 0.983775 1.696128 -0.000006 -2.595103 9.274018 7.642052 9.161822 7.525618 -3.268169
0.021005 1.042033 0.000000 0.000000 0.984317 1.693296 -0.000060 -2.595103 9.274018 7.642052 9.161822 7.525618 -3.268169
0.031015 1.042033 0.000000 0.000000 0.985135 1.773899 0.000007 -2.595103 9.274018 7.642052 9.161822 7.525618 -3.268169
0.041030 1.042033 0.000000 0.000000 0.986270 1.846206 0.000088 -2.595103 9.274018 7.642052 9.161822 7.525618 -3.268169
0.051055 1.045315 0.000076 0.000001 0.987739 1.885574 0.000184 -2.831208 9.462450 7.549985 9.337423 7.421645 -3.828243
0.061092 1.045315 0.000076 0.000001 0.989519 1.939820 0.000266 -2.831208 9.462450 7.549985 9.337423 7.421645 -3.828243
0.071141 1.045315 0.000076 0.000001 0.991566 1.985170 0.000410 -2.831208 9.462450 7.549985 9.337423 7.421645 -3.828243
0.081206 1.045315 0.000076 0.000001 0.993831 2.030441 0.000549 -2.831208 9.462450 7.549985 9.337423 7.421645 -3.828243
0.091286 1.045315 0.000076 0.000001 0.996262 2.118164 0.000859 -2.831208 9.462450 7.549985 9.337423 7.421645 -3.828243
0.101382 1.052875 0.000083 0.000001 0.998814 2.118622 0.001025 -3.122451 9.587165 7.365127 9.442437 7.217260 -4.447215
0.111494 1.052875 0.000083 0.000001 1.001386 2.158826 0.001119 -3.122451 9.587165 7.365127 9.442437 7.217260 -4.447215
0.121622 1.052875 0.000083 0.000001 1.003872 2.197624 0.001263 -3.122451 9.587165 7.365127 9.442437 7.217260 -4.447215
0.131761 1.052875 0.000083 0.000001 1.006131 2.246904 0.001286 -3.122451 9.587165 7.365127 9.442437 7.217260 -4.447215
0.141910 1.052875 0.000083 0.000001 1.008026 2.362126 0.001363 -3.122451 9.587165 7.365127 9.442437 7.217260 -4.447215
0.152064 1.059294 0.000092 0.000001 1.009458 2.369736 0.001293 -3.376091 9.625675 7.115127 9.454976 6.967260 -4.998265
0.162218 1.059294 0.000092 0.000001 1.010402 2.445014 0.001316 -3.376091 9.625675 7.104856 9.454976 6.932005 -5.043789
0.172368 1.059294 0.000092 0.000001 1.010849 2.464554 0.001320 -3.376091 9.625675 7.104856 9.454976 6.932005 -5.043789
0.182511 1.059294 0.000092 0.000001 1.010853 2.489773 0.001306 -3.376091 9.625675 7.104856 9.454976 6.932005 -5.043789
0.192643 1.059294 0.000092 0.000001 1.010499 2.555203 0.001444 -3.376091 9.625675 7.104856 9.454976 6.932005 -5.043789
0.202762 1.056117 0.000101 0.000001 1.009862 2.561045 0.001550 -3.579632 9.583765 6.854856 9.386781 6.682005 -5.433685
0.212866 1.056117 0.000101 0.000001 1.009082 2.593535 0.001648 -3.579632 9.583765 6.799494 9.386781 6.592378 -5.578674
0.222953 1.056117 0.000101 0.000001 1.008277 2.588075 0.001770 -3.579632 9.583765 6.799494 9.386781 6.592378 -5.578674
0.233023 1.056117 0.000101 0.000001 1.007598 2.629474 0.001918 -3.579632 9.583765 6.799494 9.386781 6.592378 -5.578674
0.243079 1.056117 0.000101 0.000001 1.007132 2.664263 0.002246 -3.579632 9.583765 6.799494 9.386781 6.592378 -5.578674
0.253121 1.048187 0.000111 0.000001 1.006947 2.690444 0.002501 -3.772821 9.431413 6.549494 9.211386 6.342378 -5.750926
0.263152 1.048187 0.000111 0.000001 1.007082 2.712085 0.002660 -3.772821 9.431413 6.458655 9.211386 6.227867 -5.956276
0.273174 1.048187 0.000111 0.000001 1.007560 2.717950 0.002874 -3.772821 9.431413 6.458655 9.211386 6.227867 -5.956276
0.283190 1.048187 0.000111 0.000001 1.008391 2.712701 0.003091 -3.772821 9.431413 6.458655 9.211386 6.227867 -5.956276
0.293203 1.048187 0.000111 0.000001 1.009583 2.752286 0.003535 -3.772821 9.431413 6.458655 9.211386 6.227867 -5.956276
0.303217 1.044549 0.000122 0.000001 1.011108 2.741812 0.003708 -3.948916 9.181413 6.208655 8.961386 5.977867 -5.956276
0.313233 1.044549 0.000122 0.000001 1.012939 2.744965 0.003800 -3.948916 9.159497 6.062204 8.917522 5.811110 -6.203706
0.323254 1.044549 0.000122 0.000001 1.015017 2.778195 0.003954 -3.948916 9.159497 6.062204 8.917522 5.811110 -6.203706
0.333283 1.044549 0.000122 0.000001 1.017220 2.745655 0.003947 -3.948916 9.159497 6.062204 8.917522 5.811110 -6.203706
0.343321 1.044549 0.000122 0.000001 1.019462 2.815376 0.004080 -3.948916 9.159497 6.062204 8.917522 5.811110 -6.203706
0.353367 1.046906 0.000135 0.000001 1.021578 2.798727 0.004034 -4.048632 8.909497 5.812204 8.667522 5.561110 -6.203706
0.363421 1.046906 0.000135 0.000001 1.023497 2.804837 0.004177 -4.048632 8.851035 5.676516 8.588747 5.406160 -6.357106
0.373482 1.046906 0.000135 0.000001 1.025173 2.850484 0.004206 -4.048632 8.851035 5.676516 8.588747 5.406160 -6.357106
0.383549 1.046906 0.000135 0.000001 1.026559 2.817222 0.004289 -4.048632 8.851035 5.676516 8.588747 5.406160 -6.357106
0.393619 1.046906 0.000135 0.000001 1.027721 2.773955 0.004435 -4.048632 8.851035 5.676516 8.588747 5.406160 -6.357106
0.403690 1.048362 0.000149 0.000001 1.028748 2.809576 0.004585 -4.055811 8.601035 5.426516 8.338747 5.156160 -6.357106
