dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.001001 0.993582 0.000000 0.000000 1.001628 -4.104479 0.000000 2.527897 3.562695 6.002679 3.437359 6.002679 5.005304
0.011018 0.993582 0.000000 0.000000 1.002210 -4.129450 0.000135 2.527897 3.562695 6.002679 3.437359 6.002679 5.005304
0.021046 0.993582 0.000000 0.000000 1.003096 -4.131172 0.000229 2.527897 3.562695 6.002679 3.437359 6.002679 5.005304
0.031089 0.993582 0.000000 0.000000 1.004280 -4.109993 0.000288 2.527897 3.562695 6.002679 3.437359 6.002679 5.005304
0.041147 0.993582 0.000000 0.000000 1.005728 -4.109590 0.000309 2.527897 3.562695 6.002679 3.437359 6.002679 5.005304
0.051221 0.999629 0.000000 0.000000 1.007381 -4.085567 0.000306 2.468276 3.643835 6.017294 3.525891 6.017294 4.864862
0.061311 0.999629 0.000000 0.000000 1.009153 -4.069234 0.000357 2.468276 3.643835 6.017294 3.525891 6.017294 4.864862
0.071416 0.999629 0.000000 0.000000 1.010944 -4.054777 0.000311 2.468276 3.643835 6.017294 3.525891 6.017294 4.864862
0.081535 0.999629 0.000000 0.000000 1.012664 -4.024708 0.000380 2.468276 3.643835 6.017294 3.525891 6.017294 4.864862
0.091666 0.999629 0.000000 0.000000 1.014231 -4.003743 0.000430 2.468276 3.643835 6.017294 3.525891 6.017294 4.864862
0.101805 1.006378 0.000090 0.000001 1.015569 -4.003189 0.000403 2.403869 3.671219 5.977404 3.559929 5.977404 4.723661
0.111952 1.006378 0.000090 0.000001 1.016611 -3.991824 0.000433 2.403869 3.671219 5.977404 3.559929 5.977404 4.723661
0.122103 1.006378 0.000090 0.000001 1.017299 -3.959037 0.000484 2.403869 3.671219 5.977404 3.559929 5.977404 4.723661
0.132255 1.006378 0.000090 0.000001 1.017581 -3.926454 0.000504 2.403869 3.671219 5.977404 3.559929 5.977404 4.723661
0.142406 1.006378 0.000090 0.000001 1.017427 -3.913995 0.000620 2.403869 3.671219 5.977404 3.559929 5.977404 4.723661
0.152551 1.007775 0.000100 0.000001 1.016839 -3.902801 0.000637 2.330515 3.655379 5.885552 3.550608 5.885552 4.565117
0.162690 1.007775 0.000100 0.000001 1.015840 -3.892549 0.000653 2.330515 3.655379 5.885552 3.550608 5.885552 4.565117
0.172818 1.007775 0.000100 0.000001 1.014475 -3.894966 0.000856 2.330515 3.655379 5.885552 3.550608 5.885552 4.565117
0.182934 1.007775 0.000100 0.000001 1.012800 -3.905217 0.000928 2.330515 3.655379 5.885552 3.550608 5.885552 4.565117
0.193036 1.007775 0.000100 0.000001 1.010892 -3.922857 0.001076 2.330515 3.655379 5.885552 3.550608 5.885552 4.565117
0.203123 1.002158 0.000110 0.000001 1.008845 -3.959232 0.001184 2.280534 3.654395 5.832602 3.555243 5.832602 4.455566
0.213193 1.002158 0.000110 0.000001 1.006797 -3.958641 0.001203 2.280534 3.654395 5.832602 3.555243 5.832602 4.455566
0.223245 1.002158 0.000110 0.000001 1.004885 -3.965743 0.001410 2.280534 3.654395 5.832602 3.555243 5.832602 4.455566
0.233282 1.002158 0.000110 0.000001 1.003233 -3.978072 0.001398 2.280534 3.654395 5.832602 3.555243 5.832602 4.455566
0.243304 1.002158 0.000110 0.000001 1.001952 -3.958509 0.001414 2.280534 3.654395 5.832602 3.555243 5.832602 4.455566
0.253314 0.993906 0.000121 0.000001 1.001122 -3.952981 0.001487 2.272520 3.643471 5.811268 3.548080 5.811268 4.430985
0.263315 0.993906 0.000121 0.000001 1.000801 -3.945506 0.001475 2.272520 3.643471 5.811268 3.548080 5.811268 4.430985
0.273310 0.993906 0.000121 0.000001 1.001010 -3.949689 0.001444 2.272520 3.643471 5.811268 3.548080 5.811268 4.430985
0.283305 0.993906 0.000121 0.000001 1.001725 -3.935486 0.001591 2.272520 3.643471 5.811268 3.548080 5.811268 4.430985
0.293303 0.993906 0.000121 0.000001 1.002877 -3.941725 0.001563 2.272520 3.643471 5.811268 3.548080 5.811268 4.430985
0.303308 0.992172 0.000133 0.000001 1.004382 -3.934134 0.001657 2.276267 3.565693 5.739045 3.472453 5.739045 4.439943
0.313325 0.992172 0.000133 0.000001 1.006115 -3.935217 0.001727 2.276267 3.565693 5.739045 3.472453 5.739045 4.439943
0.323355 0.992172 0.000133 0.000001 1.007960 -3.926999 0.001752 2.276267 3.565693 5.739045 3.472453 5.739045 4.439943
0.333402 0.992172 0.000133 0.000001 1.009793 -3.943901 0.001810 2.276267 3.565693 5.739045 3.472453 5.739045 4.439943
0.343465 0.992172 0.000133 0.000001 1.011501 -3.947553 0.001843 2.276267 3.565693 5.739045 3.472453 5.739045 4.439943
0.353546 0.999065 0.000146 0.000001 1.012980 -3.947553 0.001843 2.276851 3.505253 5.689739 3.413161 5.689739 4.461065
0.363643 0.999065 0.000146 0.000001 1.014168 -3.975899 0.002003 2.276851 3.505253 5.689739 3.413161 5.689739 4.461065
0.373755 0.999065 0.000146 0.000001 1.015051 -4.018746 0.002123 2.276851 3.505253 5.689739 3.413161 5.689739 4.461065
0.383879 0.999065 0.000146 0.000001 1.015637 -4.044100 0.002226 2.276851 3.505253 5.689739 3.413161 5.689739 4.461065
0.394013 0.999065 0.000146 0.000001 1.015952 -4.076850 0.002289 2.276851 3.505253 5.689739 3.413161 5.689739 4.461065
0.404154 1.005385 0.000161 0.000001 1.016044 -4.077101 0.002301 2.327809 3.514548 5.765640 3.421335 5.765640 4.595397
0.414298 1.005385 0.000161 0.000001 1.015965 -4.083737 0.002327 2.327809 3.514548 5.765640 3.421335 5.765640 4.595397
0.424444 1.005385 0.000161 0.000001 1.015746 -4.073674 0.002339 2.327809 3.514548 5.765640 3.421335 5.765640 4.595397
0.434588 1.005385 0.000161 0.000001 1.015393 -4.066515 0.002278 2.327809 3.514548 5.765640 3.421335 5.765640 4.595397
0.444727 1.005385 0.000161 0.000001 1.014910 -4.035607 0.002332 2.327809 3.514548 5.765640 3.421335 5.765640 4.595397
0.454859 1.005058 0.000178 0.000002 1.014302 -4.026385 0.002243 2.333090 3.541582 5.819214 3.447465 5.819214 4.649381
0.464983 1.005058 0.000178 0.000002 1.013570 -4.006790 0.002158 2.333090 3.541582 5.819214 3.447465 5.819214 4.649381
0.475095 1.005058 0.000178 0.000002 1.012695 -3.948853 0.002161 2.333090 3.541582 5.819214 3.447465 5.819214 4.649381
0.485194 1.005058 0.000178 0.000002 1.011635 -3.942395 0.002085 2.333090 3.541582 5.819214 3.447465 5.819214 4.649381
0.495278 1.005058 0.000178 0.000002 1.010370 -3.917592 0.002082 2.333090 3.541582 5.819214 3.447465 5.819214 4.649381
0.505346 0.999004 0.000196 0.000002 1.008885 -3.892041 0.002087 2.282033 3.517848 5.754781 3.424951 5.754781 4.566763
0.515397 0.999004 0.000196 0.000002 1.007180 -3.902591 0.002026 2.282033 3.517848 5.754781 3.424951 5.754781 4.566763
0.525431 0.999004 0.000196 0.000002 1.005277 -3.876419 0.002043 2.282033 3.517848 5.754781 3.424951 5.754781 4.566763
0.535447 0.999004 0.000196 0.000002 1.003221 -3.869315 0.002066 2.282033 3.517848 5.754781 3.424951 5.754781 4.566763
0.545444 0.999004 0.000196 0.000002 1.001083 -3.864449 0.002081 2.282033 3.517848 5.754781 3.424951 5.754781 4.566763
0.555426 0.990176 0.000216 0.000002 0.998962 -3.892542 0.002147 2.208904 3.519283 5.681789 3.429615 5.681789 4.414682
