dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.001000 0.983656 0.000000 0.000000 0.998600 -0.053686 0.000000 0.211970 5.849767 5.948719 6.048523 5.948719 -0.000852
0.010997 0.983656 0.000000 0.000000 0.998146 -0.060943 -0.000013 0.211970 5.849767 5.948719 6.048523 5.948719 -0.000852
0.020985 0.983656 0.000000 0.000000 0.997056 -0.066148 -0.000017 0.211970 5.849767 5.948719 6.048523 5.948719 -0.000852
0.030969 0.980356 0.000076 0.000001 0.996013 -0.065724 -0.000033 0.211970 5.849767 5.948719 6.048523 5.948719 -0.000852
0.040947 0.980356 0.000076 0.000001 0.995762 -0.097136 -0.000040 0.211970 5.849767 5.948719 6.048523 5.948719 -0.000852
0.050923 0.980356 0.000076 0.000001 0.995516 -0.056531 -0.000044 0.241248 5.959268 6.063324 6.078632 6.063324 0.088749
0.060899 0.980356 0.000076 0.000001 0.995268 -0.087360 -0.000055 0.241248 5.959268 6.063324 6.078632 6.063324 0.088749
0.070877 0.980356 0.000076 0.000001 0.995711 -0.079836 -0.000053 0.241248 5.959268 6.063324 6.078632 6.063324 0.088749
0.080856 0.979710 0.000083 0.000001 0.996110 -0.099830 -0.000102 0.241248 5.959268 6.063324 6.078632 6.063324 0.088749
0.090839 0.979710 0.000083 0.000001 0.996466 -0.096294 -0.000085 0.241248 5.959268 6.063324 6.078632 6.063324 0.088749
0.100826 0.979710 0.000083 0.000001 0.996044 -0.089366 -0.000086 0.245489 5.949725 6.015179 5.980012 6.015179 0.100620
0.110817 0.979710 0.000083 0.000001 0.996303 -0.078932 -0.000099 0.245489 5.949725 6.015179 5.980012 6.015179 0.100620
0.120811 0.979710 0.000083 0.000001 0.996507 -0.090793 -0.000104 0.245489 5.949725 6.015179 5.980012 6.015179 0.100620
0.130811 0.982204 0.000092 0.000001 0.997372 -0.092599 -0.000079 0.245489 5.949725 6.015179 5.980012 6.015179 0.100620
0.140815 0.982204 0.000092 0.000001 0.997459 -0.085819 -0.000075 0.245489 5.949725 6.015179 5.980012 6.015179 0.100620
0.150825 0.982204 0.000092 0.000001 0.997500 -0.080884 -0.000071 0.262388 5.892713 5.979649 5.902908 5.979649 0.163678
0.160840 0.982204 0.000092 0.000001 0.998280 -0.067786 -0.000048 0.262388 5.892713 5.979649 5.902908 5.979649 0.163678
0.170861 0.982204 0.000092 0.000001 0.998340 -0.081260 -0.000044 0.262388 5.892713 5.979649 5.902908 5.979649 0.163678
0.180886 0.984767 0.000101 0.000001 0.998435 -0.097856 -0.000012 0.262388 5.892713 5.979649 5.902908 5.979649 0.163678
0.190915 0.984767 0.000101 0.000001 0.999331 -0.078137 0.000031 0.262388 5.892713 5.979649 5.902908 5.979649 0.163678
0.200947 0.984767 0.000101 0.000001 0.999561 -0.090229 0.000051 0.257652 6.011602 6.113261 6.103758 6.113261 0.111162
0.210981 0.984767 0.000101 0.000001 1.000584 -0.095087 0.000080 0.257652 6.011602 6.113261 6.103758 6.113261 0.111162
0.221018 0.984767 0.000101 0.000001 1.000884 -0.114492 0.000130 0.257652 6.011602 6.113261 6.103758 6.113261 0.111162
0.231060 0.986388 0.000111 0.000001 1.001919 -0.117128 0.000159 0.257652 6.011602 6.113261 6.103758 6.113261 0.111162
0.241107 0.986388 0.000111 0.000001 1.002905 -0.091526 0.000149 0.257652 6.011602 6.113261 6.103758 6.113261 0.111162
0.251158 0.986388 0.000111 0.000001 1.003080 -0.120871 0.000183 0.252738 6.121928 6.211696 6.293574 6.211696 0.007890
0.261212 0.986388 0.000111 0.000001 1.003895 -0.108080 0.000215 0.252738 6.121928 6.211696 6.293574 6.211696 0.007890
0.271271 0.986388 0.000111 0.000001 1.004549 -0.112858 0.000228 0.252738 6.121928 6.211696 6.293574 6.211696 0.007890
0.281332 0.988609 0.000122 0.000001 1.005069 -0.111856 0.000280 0.252738 6.121928 6.211696 6.293574 6.211696 0.007890
