dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.001008 1.001753 0.000000 0.100000 1.003025 -0.118688 0.100000 0.139304 6.050288 6.275229 5.910984 6.275229 0.589186
0.011081 1.001753 0.000000 0.100000 1.002341 -0.127661 0.100069 0.139304 6.050288 6.275229 5.910984 6.275229 0.589186
0.021157 1.001753 0.000000 0.100000 1.002507 -0.103160 0.100069 0.139304 6.050288 6.275229 5.910984 6.275229 0.589186
0.031239 1.001753 0.000000 0.100000 1.003509 -0.090805 0.100094 0.139304 6.050288 6.275229 5.910984 6.275229 0.589186
0.041324 1.001753 0.000000 0.100000 1.003897 -0.084485 0.100068 0.139304 6.050288 6.275229 5.910984 6.275229 0.589186
0.051412 1.004109 -0.000000 0.100000 1.004376 -0.108238 0.100004 0.100785 6.137551 6.311164 5.998748 6.311164 0.486029
0.061500 1.004109 -0.000000 0.100000 1.004943 -0.108882 0.099960 0.100785 6.137551 6.311164 5.998748 6.311164 0.486029
0.071587 1.004109 -0.000000 0.100000 1.004833 -0.116549 0.099824 0.100785 6.137551 6.311164 5.998748 6.311164 0.486029
0.081673 1.004109 -0.000000 0.100000 1.005460 -0.123984 0.099771 0.100785 6.137551 6.311164 5.998748 6.311164 0.486029
0.091757 1.004109 -0.000000 0.100000 1.005343 -0.123067 0.099603 0.100785 6.137551 6.311164 5.998748 6.311164 0.486029
0.101836 1.003138 -0.000000 0.100000 1.005234 -0.130992 0.099530 0.089403 6.107843 6.256838 5.969758 6.256838 0.436075
0.111908 1.003138 -0.000000 0.100000 1.004391 -0.113474 0.099513 0.089403 6.107843 6.256838 5.969758 6.256838 0.436075
0.121973 1.003138 -0.000000 0.100000 1.003563 -0.105671 0.099523 0.089403 6.107843 6.256838 5.969758 6.256838 0.436075
0.132026 1.003138 -0.000000 0.100000 1.002788 -0.105043 0.099559 0.089403 6.107843 6.256838 5.969758 6.256838 0.436075
0.142071 1.003138 -0.000000 0.100000 1.002034 -0.083651 0.099677 0.089403 6.107843 6.256838 5.969758 6.256838 0.436075
0.152106 0.998522 -0.000000 0.100000 1.001331 -0.080515 0.099792 0.082220 6.061161 6.191980 5.923795 6.191980 0.399004
0.162131 0.998522 -0.000000 0.100000 1.000673 -0.071069 0.099832 0.082220 6.061161 6.191980 5.923795 6.191980 0.399004
0.172153 0.998522 -0.000000 0.100000 1.000040 -0.078331 0.099958 0.082220 6.061161 6.191980 5.923795 6.191980 0.399004
0.182166 0.998522 -0.000000 0.100000 0.999506 -0.078385 0.100009 0.082220 6.061161 6.191980 5.923795 6.191980 0.399004
0.192181 0.998522 -0.000000 0.100000 0.999769 -0.070808 0.100135 0.082220 6.061161 6.191980 5.923795 6.191980 0.399004
0.202193 0.996438 -0.000000 0.100000 0.999412 -0.071655 0.100188 0.077924 6.044151 6.169290 5.907110 6.169290 0.387320
0.212205 0.996438 -0.000000 0.100000 0.999920 -0.061807 0.100236 0.077924 6.044151 6.169290 5.907110 6.169290 0.387320
0.222219 0.996438 -0.000000 0.100000 1.000527 -0.053380 0.100247 0.077924 6.044151 6.169290 5.907110 6.169290 0.387320
0.232237 0.996438 -0.000000 0.100000 1.001178 -0.055321 0.100251 0.077924 6.044151 6.169290 5.907110 6.169290 0.387320
0.242261 0.996438 -0.000000 0.100000 1.002555 -0.063022 0.100154 0.077924 6.044151 6.169290 5.907110 6.169290 0.387320
0.252292 0.998702 -0.000000 0.100000 1.003867 -0.064220 0.100086 0.056837 6.013434 6.112906 5.876992 6.112906 0.335387
0.262333 0.998702 -0.000000 0.100000 1.005772 -0.080193 0.099986 0.056837 6.013434 6.112906 5.876992 6.112906 0.335387
0.272381 0.998702 -0.000000 0.100000 1.006798 -0.084973 0.099908 0.056837 6.013434 6.112906 5.876992 6.112906 0.335387
0.282438 0.998702 -0.000000 0.100000 1.007669 -0.086706 0.099805 0.056837 6.013434 6.112906 5.876992 6.112906 0.335387
0.292503 0.998702 -0.000000 0.100000 1.009111 -0.095318 0.099645 0.056837 6.013434 6.112906 5.876992 6.112906 0.335387
0.302575 1.002829 -0.000001 0.100000 1.009675 -0.079168 0.099636 0.064555 5.950573 6.052666 5.814225 6.052666 0.340535
0.312656 1.002829 -0.000001 0.100000 1.010823 -0.056715 0.099585 0.064555 5.950573 6.052666 5.814225 6.052666 0.340535
0.322744 1.002829 -0.000001 0.100000 1.011831 -0.058533 0.099646 0.064555 5.950573 6.052666 5.814225 6.052666 0.340535
0.332838 1.002829 -0.000001 0.100000 1.011953 -0.040428 0.099658 0.064555 5.950573 6.052666 5.814225 6.052666 0.340535
0.342937 1.002829 -0.000001 0.100000 1.011933 -0.033343 0.099786 0.064555 5.950573 6.052666 5.814225 6.052666 0.340535
0.353041 1.005964 -0.000001 0.100000 1.012518 -0.015484 0.099848 0.049591 5.949654 6.024437 5.813533 6.024437 0.285687
0.363150 1.005964 -0.000001 0.100000 1.013006 -0.025651 0.099932 0.049591 5.949654 6.024437 5.813533 6.024437 0.285687
0.373261 1.005964 -0.000001 0.100000 1.012711 -0.027250 0.099979 0.049591 5.949654 6.024437 5.813533 6.024437 0.285687
0.383372 1.005964 -0.000001 0.100000 1.012459 -0.011967 0.100043 0.049591 5.949654 6.024437 5.813533 6.024437 0.285687
0.393479 1.005964 -0.000001 0.100000 1.011581 -0.013885 0.100131 0.049591 5.949654 6.024437 5.813533 6.024437 0.285687
0.403584 1.005833 -0.000001 0.100000 1.011576 -0.015466 0.100165 0.040364 5.964275 6.024846 5.828248 6.024846 0.257170
0.413679 1.005833 -0.000001 0.100000 1.010297 -0.010835 0.100173 0.040364 5.964275 6.024846 5.828248 6.024846 0.257170
0.423765 1.005833 -0.000001 0.100000 1.009940 -0.015424 0.100131 0.040364 5.964275 6.024846 5.828248 6.024846 0.257170
0.433843 1.005833 -0.000001 0.100000 1.009010 -0.015273 0.100069 0.040364 5.964275 6.024846 5.828248 6.024846 0.257170
0.443915 1.005833 -0.000001 0.100000 1.008937 -0.047615 0.099941 0.040364 5.964275 6.024846 5.828248 6.024846 0.257170
0.453980 1.001131 -0.000001 0.100000 1.008941 -0.059292 0.099848 0.043238 5.894704 5.957221 5.759078 5.957221 0.260660
0.464040 1.001131 -0.000001 0.100000 1.008237 -0.070162 0.099745 0.043238 5.894704 5.957221 5.759078 5.957221 0.260660
0.474097 1.001131 -0.000001 0.100000 1.008281 -0.074360 0.099660 0.043238 5.894704 5.957221 5.759078 5.957221 0.260660
0.484149 1.001131 -0.000001 0.100000 1.007587 -0.086527 0.099580 0.043238 5.894704 5.957221 5.759078 5.957221 0.260660
0.494198 1.001131 -0.000001 0.100000 1.007608 -0.072462 0.099483 0.043238 5.894704 5.957221 5.759078 5.957221 0.260660
0.504242 0.999359 -0.000001 0.100000 1.007620 -0.047806 0.099482 0.057996 5.803691 5.880227 5.668293 5.880227 0.288471
0.514286 0.999359 -0.000001 0.100000 1.007564 -0.036893 0.099479 0.057996 5.803691 5.880227 5.668293 5.880227 0.288471
0.524328 0.999359 -0.000001 0.100000 1.007433 -0.026793 0.099532 0.057996 5.803691 5.880227 5.668293 5.880227 0.288471
0.534369 0.999359 -0.000001 0.100000 1.007218 -0.013694 0.099577 0.057996 5.803691 5.880227 5.668293 5.880227 0.288471
0.544412 0.999359 -0.000001 0.100000 1.007647 0.000075 0.099708 0.057996 5.803691 5.880227 5.668293 5.880227 0.288471
0.554459 0.999632 -0.000001 0.100000 1.007267 -0.004117 0.099796 0.049126 5.807185 5.869142 5.671860 5.869142 0.259239
0.564511 0.999632 -0.000001 0.100000 1.008301 0.005291 0.099902 0.049126 5.807185 5.869142 5.671860 5.869142 0.259239
0.574567 0.999632 -0.000001 0.100000 1.007848 0.007687 0.099935 0.049126 5.807185 5.869142 5.671860 5.869142 0.259239
0.584631 0.999632 -0.000001 0.100000 1.008870 0.023261 0.099995 0.049126 5.807185 5.869142 5.671860 5.869142 0.259239
0.594698 0.999632 -0.000001 0.100000 1.008466 0.031404 0.100119 0.049126 5.807185 5.869142 5.671860 5.869142 0.259239
0.604771 1.001927 -0.000002 0.100000 1.009572 0.049169 0.100129 0.007838 5.887050 5.893993 5.752110 5.893993 0.148826
0.614851 1.001927 -0.000002 0.100000 1.009965 0.026451 0.100145 0.007838 5.887050 5.893993 5.752110 5.893993 0.148826
0.624938 1.001927 -0.000002 0.100000 1.011113 0.035599 0.100107 0.007838 5.887050 5.893993 5.752110 5.893993 0.148826
0.635033 1.001927 -0.000002 0.100000 1.012234 0.025394 0.100070 0.007838 5.887050 5.893993 5.752110 5.893993 0.148826
0.645134 1.001927 -0.000002 0.100000 1.013319 -0.000244 0.099957 0.007838 5.887050 5.893993 5.752110 5.893993 0.148826
0.655237 1.004817 -0.000002 0.100000 1.013636 -0.020768 0.099885 0.006659 5.891592 5.893741 5.756568 5.893741 0.139322
0.665343 1.004817 -0.000002 0.100000 1.013903 -0.037652 0.099855 0.006659 5.891592 5.893741 5.756568 5.893741 0.139322
0.675449 1.004817 -0.000002 0.100000 1.014121 -0.041897 0.099793 0.006659 5.891592 5.893741 5.756568 5.893741 0.139322
0.685559 1.004817 -0.000002 0.100000 1.014253 -0.029734 0.099749 0.006659 5.891592 5.893741 5.756568 5.893741 0.139322
0.695666 1.004817 -0.000002 0.100000 1.014345 -0.017359 0.099793 0.006659 5.891592 5.893741 5.756568 5.893741 0.139322
0.705772 1.004831 -0.000003 0.100000 1.013651 -0.009563 0.099804 0.008819 5.855220 5.857294 5.720376 5.857294 0.138991
0.715871 1.004831 -0.000003 0.100000 1.012935 0.002932 0.099887 0.008819 5.855220 5.857294 5.720376 5.857294 0.138991
0.725964 1.004831 -0.000003 0.100000 1.012912 0.005164 0.099919 0.008819 5.855220 5.857294 5.720376 5.857294 0.138991
0.736054 1.004831 -0.000003 0.100000 1.012101 0.014936 0.100007 0.008819 5.855220 5.857294 5.720376 5.857294 0.138991
0.746141 1.004831 -0.000003 0.100000 1.011265 0.032579 0.100127 0.008819 5.855220 5.857294 5.720376 5.857294 0.138991
0.756227 1.003329 -0.000003 0.100000 1.011142 0.045383 0.100205 0.001603 5.861419 5.854912 5.726715 5.854912 0.121691
0.766310 1.003329 -0.000003 0.100000 1.010337 0.048588 0.100231 0.001603 5.861419 5.854912 5.726715 5.854912 0.121691
0.776389 1.003329 -0.000003 0.100000 1.009631 0.055685 0.100363 0.001603 5.861419 5.854912 5.726715 5.854912 0.121691
0.786464 1.003329 -0.000003 0.100000 1.009029 0.065107 0.100397 0.001603 5.861419 5.854912 5.726715 5.854912 0.121691
0.796538 1.003329 -0.000003 0.100000 1.008536 0.085247 0.100436 0.001603 5.861419 5.854912 5.726715 5.854912 0.121691
0.806610 1.001883 -0.000004 0.100000 1.008888 0.074672 0.100446 -0.036159 5.905082 5.850179 5.771075 5.850179 0.024200
0.816682 1.001883 -0.000004 0.100000 1.008607 0.075250 0.100391 -0.036159 5.905082 5.850179 5.771075 5.850179 0.024200
0.826751 1.001883 -0.000004 0.100000 1.008413 0.069617 0.100364 -0.036159 5.905082 5.850179 5.771075 5.850179 0.024200
0.836822 1.001883 -0.000004 0.100000 1.008972 0.047196 0.100284 -0.036159 5.905082 5.850179 5.771075 5.850179 0.024200
0.846894 1.001883 -0.000004 0.100000 1.009512 0.022933 0.100097 -0.036159 5.905082 5.850179 5.771075 5.850179 0.024200
0.856964 1.001331 -0.000005 0.100000 1.009320 0.025867 0.100047 -0.037788 5.878462 5.815550 5.744781 5.815550 0.007856
0.867029 1.001331 -0.000005 0.100000 1.009141 0.011907 0.099980 -0.037788 5.878462 5.815550 5.744781 5.815550 0.007856
0.877091 1.001331 -0.000005 0.100000 1.008241 0.020605 0.099926 -0.037788 5.878462 5.815550 5.744781 5.815550 0.007856
0.887147 1.001331 -0.000005 0.100000 1.008097 0.030153 0.099907 -0.037788 5.878462 5.815550 5.744781 5.815550 0.007856
0.897198 1.001331 -0.000005 0.100000 1.007227 0.047144 0.099952 -0.037788 5.878462 5.815550 5.744781 5.815550 0.007856
0.907243 0.998686 -0.000006 0.100000 1.007084 0.045957 0.099974 -0.032556 5.849401 5.786478 5.715920 5.786478 0.007636
0.917280 0.998686 -0.000006 0.100000 1.006197 0.050283 0.100059 -0.032556 5.849401 5.786478 5.715920 5.786478 0.007636
0.927313 0.998686 -0.000006 0.100000 1.005291 0.057222 0.100096 -0.032556 5.849401 5.786478 5.715920 5.786478 0.007636
0.937340 0.998686 -0.000006 0.100000 1.004380 0.061150 0.100168 -0.032556 5.849401 5.786478 5.715920 5.786478 0.007636
0.947363 0.998686 -0.000006 0.100000 1.003501 0.075149 0.100269 -0.032556 5.849401 5.786478 5.715920 5.786478 0.007636
0.957379 0.995959 -0.000007 0.100000 1.002712 0.080883 0.100290 -0.025616 5.875808 5.820756 5.742067 5.820756 0.023638
0.967392 0.995959 -0.000007 0.100000 1.002753 0.088027 0.100330 -0.025616 5.875808 5.820756 5.742067 5.820756 0.023638
0.977404 0.995959 -0.000007 0.100000 1.002136 0.100925 0.100352 -0.025616 5.875808 5.820756 5.742067 5.820756 0.023638
0.987415 0.995959 -0.000007 0.100000 1.002344 0.092922 0.100382 -0.025616 5.875808 5.820756 5.742067 5.820756 0.023638
0.997425 0.995959 -0.000007 0.100000 1.002618 0.099740 0.100358 -0.025616 5.875808 5.820756 5.742067 5.820756 0.023638
1.007432 0.994885 -0.000009 0.100000 1.001480 0.087625 0.100293 -0.050849 5.931703 5.844469 5.798243 5.844469 -0.041009
1.017429 0.994885 -0.000009 0.100000 1.001208 0.094861 0.100239 -0.050849 5.931703 5.844469 5.798243 5.844469 -0.041009
1.027424 0.994885 -0.000009 0.100000 1.000958 0.058901 0.100143 -0.050849 5.931703 5.844469 5.798243 5.844469 -0.041009
1.037419 0.994885 -0.000009 0.100000 1.001443 0.056637 0.100078 -0.050849 5.931703 5.844469 5.798243 5.844469 -0.041009
1.047414 0.994885 -0.000009 0.100000 1.001173 0.038310 0.099901 -0.050849 5.931703 5.844469 5.798243 5.844469 -0.041009
1.057409 0.992971 -0.000011 0.100000 1.000890 0.018783 0.099829 -0.040660 5.907240 5.827674 5.773845 5.827674 -0.025737
1.067406 0.992971 -0.000011 0.100000 1.001311 0.032344 0.099814 -0.040660 5.907240 5.827674 5.773845 5.827674 -0.025737
1.077401 0.992971 -0.000011 0.100000 1.000993 0.025164 0.099787 -0.040660 5.907240 5.827674 5.773845 5.827674 -0.025737
1.087397 0.992971 -0.000011 0.100000 1.001374 0.032669 0.099832 -0.040660 5.907240 5.827674 5.773845 5.827674 -0.025737
1.097395 0.992971 -0.000011 0.100000 1.001704 0.042175 0.099941 -0.040660 5.907240 5.827674 5.773845 5.827674 -0.025737
1.107395 0.994127 -0.000013 0.100000 1.001983 0.038547 0.100033 -0.019960 5.876882 5.823578 5.743229 5.823578 0.027045
1.117399 0.994127 -0.000013 0.100000 1.002186 0.029040 0.100088 -0.019960 5.876882 5.823578 5.743229 5.823578 0.027045
1.127408 0.994127 -0.000013 0.100000 1.002329 0.029229 0.100215 -0.019960 5.876882 5.823578 5.743229 5.823578 0.027045
1.137422 0.994127 -0.000013 0.100000 1.003168 0.035788 0.100246 -0.019960 5.876882 5.823578 5.743229 5.823578 0.027045
1.147440 0.994127 -0.000013 0.100000 1.003271 0.042122 0.100407 -0.019960 5.876882 5.823578 5.743229 5.823578 0.027045
1.157464 0.996582 -0.000016 0.100000 1.004134 0.049267 0.100480 -0.009772 5.871023 5.839642 5.737083 5.839642 0.071178
1.167493 0.996582 -0.000016 0.100000 1.004294 0.054675 0.100495 -0.009772 5.871023 5.839642 5.737083 5.839642 0.071178
1.177529 0.996582 -0.000016 0.100000 1.005217 0.051893 0.100544 -0.009772 5.871023 5.839642 5.737083 5.839642 0.071178
1.187569 0.996582 -0.000016 0.100000 1.006157 0.058676 0.100542 -0.009772 5.871023 5.839642 5.737083 5.839642 0.071178
1.197611 0.996582 -0.000016 0.100000 1.006374 0.025927 0.100488 -0.009772 5.871023 5.839642 5.737083 5.839642 0.071178
1.207661 0.998505 -0.000020 0.100000 1.007273 0.027134 0.100439 -0.016733 5.842663 5.812119 5.708891 5.812119 0.072684
1.217713 0.998505 -0.000020 0.100000 1.008123 0.006914 0.100360 -0.016733 5.842663 5.812119 5.708891 5.812119 0.072684
1.227771 0.998505 -0.000020 0.100000 1.008882 -0.007216 0.100311 -0.016733 5.842663 5.812119 5.708891 5.812119 0.072684
1.237830 0.998505 -0.000020 0.100000 1.008832 -0.008830 0.100221 -0.016733 5.842663 5.812119 5.708891 5.812119 0.072684
1.247890 0.998505 -0.000020 0.100000 1.009471 -0.034125 0.100086 -0.016733 5.842663 5.812119 5.708891 5.812119 0.072684
1.257949 0.999329 -0.000024 0.100000 1.009325 -0.024924 0.100057 -0.001115 5.773292 5.764484 5.639475 5.764484 0.116201
1.268008 0.999329 -0.000024 0.100000 1.009131 -0.023685 0.100012 -0.001115 5.773292 5.764484 5.639475 5.764484 0.116201
1.278064 0.999329 -0.000024 0.100000 1.008907 -0.018717 0.100030 -0.001115 5.773292 5.764484 5.639475 5.764484 0.116201
1.288117 0.999329 -0.000024 0.100000 1.008652 -0.009129 0.100033 -0.001115 5.773292 5.764484 5.639475 5.764484 0.116201
1.298164 0.999329 -0.000024 0.100000 1.007635 -0.011920 0.100131 -0.001115 5.773292 5.764484 5.639475 5.764484 0.116201
1.308204 0.996937 -0.000029 0.100000 1.005875 -0.015290 0.100178 0.015510 5.738994 5.754009 5.604879 5.754009 0.164145
1.318227 0.996937 -0.000029 0.100000 1.004954 -0.027126 0.100246 0.015510 5.738994 5.754009 5.604879 5.754009 0.164145
1.328244 0.996937 -0.000029 0.100000 1.004051 -0.030671 0.100284 0.015510 5.738994 5.754009 5.604879 5.754009 0.164145
1.338261 0.996937 -0.000029 0.100000 1.003892 -0.026874 0.100332 0.015510 5.738994 5.754009 5.604879 5.754009 0.164145
1.348277 0.996937 -0.000029 0.100000 1.003049 -0.030270 0.100432 0.015510 5.738994 5.754009 5.604879 5.754009 0.164145
1.358291 0.994649 -0.000036 0.100000 1.003036 -0.024845 0.100437 0.028819 5.753774 5.793195 5.619130 5.793195 0.213486
1.368306 0.994649 -0.000036 0.100000 1.003107 -0.031139 0.100462 0.028819 5.753774 5.793195 5.619130 5.793195 0.213486
1.378323 0.994649 -0.000036 0.100000 1.003247 -0.025816 0.100427 0.028819 5.753774 5.793195 5.619130 5.793195 0.213486
1.388346 0.994649 -0.000036 0.100000 1.003423 -0.032149 0.100424 0.028819 5.753774 5.793195 5.619130 5.793195 0.213486
