dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.001004 1.016427 0.000000 0.100000 1.002066 0.147628 0.100000 0.086030 6.202583 6.105230 6.201953 6.105230 -0.194077
0.011042 1.016427 0.000000 0.100000 1.002468 0.133106 0.099962 0.086030 6.202583 6.105230 6.201953 6.105230 -0.194077
0.021087 1.016427 0.000000 0.100000 1.004355 0.130699 0.099931 0.086030 6.202583 6.105230 6.201953 6.105230 -0.194077
0.031137 1.016427 0.000000 0.100000 1.004745 0.124281 0.099811 0.086030 6.202583 6.105230 6.201953 6.105230 -0.194077
0.041191 1.016427 0.000000 0.100000 1.005807 0.137903 0.099761 0.086030 6.202583 6.105230 6.201953 6.105230 -0.194077
0.051249 1.018718 -0.000000 0.100000 1.006774 0.136769 0.099688 0.058424 6.152415 6.005461 6.151830 6.005461 -0.293323
0.061311 1.018718 -0.000000 0.100000 1.007633 0.152458 0.099674 0.058424 6.152415 6.005461 6.151830 6.005461 -0.293323
0.071377 1.018718 -0.000000 0.100000 1.008353 0.141011 0.099599 0.058424 6.152415 6.005461 6.151830 6.005461 -0.293323
0.081449 1.018718 -0.000000 0.100000 1.008911 0.165777 0.099573 0.058424 6.152415 6.005461 6.151830 6.005461 -0.293323
0.091526 1.018718 -0.000000 0.100000 1.009307 0.173898 0.099619 0.058424 6.152415 6.005461 6.151830 6.005461 -0.293323
0.101605 1.021468 -0.000000 0.100000 1.009584 0.184543 0.099588 0.036842 6.100173 5.917833 6.099697 5.917833 -0.364204
0.111690 1.021468 -0.000000 0.100000 1.009718 0.189078 0.099669 0.036842 6.100173 5.917833 6.099697 5.917833 -0.364204
0.121776 1.021468 -0.000000 0.100000 1.010503 0.179310 0.099701 0.036842 6.100173 5.917833 6.099697 5.917833 -0.364204
0.131866 1.021468 -0.000000 0.100000 1.010468 0.202625 0.099795 0.036842 6.100173 5.917833 6.099697 5.917833 -0.364204
0.141955 1.021468 -0.000000 0.100000 1.009716 0.211969 0.099837 0.036842 6.100173 5.917833 6.099697 5.917833 -0.364204
0.152042 1.021803 -0.000000 0.100000 1.009750 0.240068 0.099947 0.000835 6.115961 5.897360 6.115622 5.897360 -0.436864
0.162130 1.021803 -0.000000 0.100000 1.009130 0.237869 0.099989 0.000835 6.115961 5.897360 6.115622 5.897360 -0.436864
0.172216 1.021803 -0.000000 0.100000 1.009378 0.264495 0.100062 0.000835 6.115961 5.897360 6.115622 5.897360 -0.436864
0.182299 1.021803 -0.000000 0.100000 1.009029 0.262482 0.100146 0.000835 6.115961 5.897360 6.115622 5.897360 -0.436864
0.192377 1.021803 -0.000000 0.100000 1.008821 0.279563 0.100129 0.000835 6.115961 5.897360 6.115622 5.897360 -0.436864
0.202451 1.020654 -0.000000 0.100000 1.008726 0.267898 0.100117 -0.059288 6.125878 5.845884 6.125646 5.845884 -0.559755
0.212522 1.020654 -0.000000 0.100000 1.008714 0.256296 0.100098 -0.059288 6.125878 5.845884 6.125646 5.845884 -0.559755
0.222587 1.020654 -0.000000 0.100000 1.008778 0.258599 0.100066 -0.059288 6.125878 5.845884 6.125646 5.845884 -0.559755
0.232653 1.020654 -0.000000 0.100000 1.008090 0.240580 0.099996 -0.059288 6.125878 5.845884 6.125646 5.845884 -0.559755
0.242715 1.020654 -0.000000 0.100000 1.008883 0.236947 0.099941 -0.059288 6.125878 5.845884 6.125646 5.845884 -0.559755
0.252778 1.018881 -0.000000 0.100000 1.009637 0.237444 0.099904 -0.053897 6.047492 5.753180 6.047482 5.753180 -0.588614
0.262843 1.018881 -0.000000 0.100000 1.009590 0.233863 0.099890 -0.053897 6.047492 5.753180 6.047482 5.753180 -0.588614
0.272909 1.018881 -0.000000 0.100000 1.010197 0.233844 0.099881 -0.053897 6.047492 5.753180 6.047482 5.753180 -0.588614
0.282978 1.018881 -0.000000 0.100000 1.010690 0.251001 0.099889 -0.053897 6.047492 5.753180 6.047482 5.753180 -0.588614
0.293051 1.018881 -0.000000 0.100000 1.011041 0.257516 0.099903 -0.053897 6.047492 5.753180 6.047482 5.753180 -0.588614
0.303127 1.020123 -0.000001 0.100000 1.011274 0.266827 0.099945 -0.056693 5.991634 5.690161 5.991555 5.690161 -0.602868
0.313205 1.020123 -0.000001 0.100000 1.011379 0.258142 0.099965 -0.056693 5.991634 5.690161 5.991555 5.690161 -0.602868
0.323286 1.020123 -0.000001 0.100000 1.011376 0.267069 0.100002 -0.056693 5.991634 5.690161 5.991555 5.690161 -0.602868
0.333369 1.020123 -0.000001 0.100000 1.011312 0.281740 0.100114 -0.056693 5.991634 5.690161 5.991555 5.690161 -0.602868
0.343453 1.020123 -0.000001 0.100000 1.011226 0.295410 0.100171 -0.056693 5.991634 5.690161 5.991555 5.690161 -0.602868
0.353538 1.021357 -0.000001 0.100000 1.010431 0.325781 0.100269 -0.087072 6.029631 5.706311 6.029583 5.706311 -0.646592
0.363622 1.021357 -0.000001 0.100000 1.010462 0.312528 0.100337 -0.087072 6.029631 5.706311 6.029583 5.706311 -0.646592
0.373707 1.021357 -0.000001 0.100000 1.010595 0.355621 0.100386 -0.087072 6.029631 5.706311 6.029583 5.706311 -0.646592
0.383789 1.021357 -0.000001 0.100000 1.010151 0.324977 0.100444 -0.087072 6.029631 5.706311 6.029583 5.706311 -0.646592
0.393872 1.021357 -0.000001 0.100000 1.010561 0.347021 0.100454 -0.087072 6.029631 5.706311 6.029583 5.706311 -0.646592
0.403957 1.020932 -0.000001 0.100000 1.011051 0.310100 0.100426 -0.139227 6.060517 5.688976 6.060428 5.688976 -0.742994
0.414039 1.020932 -0.000001 0.100000 1.010882 0.316881 0.100433 -0.139227 6.060517 5.688976 6.060428 5.688976 -0.742994
0.424120 1.020932 -0.000001 0.100000 1.010725 0.297063 0.100398 -0.139227 6.060517 5.688976 6.060428 5.688976 -0.742994
0.434200 1.020932 -0.000001 0.100000 1.011295 0.290547 0.100367 -0.139227 6.060517 5.688976 6.060428 5.688976 -0.742994
0.444280 1.020932 -0.000001 0.100000 1.011089 0.285517 0.100346 -0.139227 6.060517 5.688976 6.060428 5.688976 -0.742994
0.454363 1.020614 -0.000001 0.100000 1.012271 0.280011 0.100331 -0.121917 6.008180 5.640105 6.008045 5.640105 -0.736015
0.464447 1.020614 -0.000001 0.100000 1.011881 0.277399 0.100333 -0.121917 6.008180 5.640105 6.008045 5.640105 -0.736015
0.474529 1.020614 -0.000001 0.100000 1.012156 0.273302 0.100337 -0.121917 6.008180 5.640105 6.008045 5.640105 -0.736015
0.484605 1.020614 -0.000001 0.100000 1.010905 0.268936 0.100377 -0.121917 6.008180 5.640105 6.008045 5.640105 -0.736015
0.494678 1.020614 -0.000001 0.100000 1.010322 0.259292 0.100405 -0.121917 6.008180 5.640105 6.008045 5.640105 -0.736015
0.504749 1.019842 -0.000001 0.100000 1.010387 0.262802 0.100438 -0.094048 5.982542 5.643060 5.982553 5.643060 -0.678974
0.514819 1.019842 -0.000001 0.100000 1.009656 0.236113 0.100513 -0.094048 5.982542 5.643060 5.982553 5.643060 -0.678974
0.524890 1.019842 -0.000001 0.100000 1.009632 0.254859 0.100558 -0.094048 5.982542 5.643060 5.982553 5.643060 -0.678974
0.534963 1.019842 -0.000001 0.100000 1.009614 0.269468 0.100760 -0.094048 5.982542 5.643060 5.982553 5.643060 -0.678974
0.545044 1.019842 -0.000001 0.100000 1.009573 0.308537 0.100843 -0.094048 5.982542 5.643060 5.982553 5.643060 -0.678974
0.555129 1.020666 -0.000001 0.100000 1.010339 0.293589 0.100905 -0.119098 6.042428 5.697528 6.042426 5.697528 -0.689797
0.565215 1.020666 -0.000001 0.100000 1.010469 0.309300 0.100971 -0.119098 6.042428 5.697528 6.042426 5.697528 -0.689797
0.575305 1.020666 -0.000001 0.100000 1.010683 0.314501 0.100984 -0.119098 6.042428 5.697528 6.042426 5.697528 -0.689797
0.585398 1.020666 -0.000001 0.100000 1.010938 0.297166 0.100980 -0.119098 6.042428 5.697528 6.042426 5.697528 -0.689797
0.595493 1.020666 -0.000001 0.100000 1.011229 0.279779 0.100945 -0.119098 6.042428 5.697528 6.042426 5.697528 -0.689797
0.605587 1.021491 -0.000002 0.100000 1.011541 0.258532 0.100935 -0.118014 6.048009 5.707119 6.048028 5.707119 -0.681800
