dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.002008 2.000633 0.000000 0.000000 2.008297 0.008423 0.000000 0.391592 7.765085 7.591040 7.582925 7.451091 -0.305879
0.022081 2.000633 0.000000 0.000000 2.006417 0.005821 -0.000074 0.391592 7.765085 7.591040 7.582925 7.451091 -0.305879
0.042134 2.000633 0.000000 0.000000 2.004367 0.004269 -0.000083 0.391592 7.765085 7.591040 7.582925 7.451091 -0.305879
0.062166 2.000633 0.000000 0.000000 2.002304 0.008435 -0.000074 0.391592 7.765085 7.591040 7.582925 7.451091 -0.305879
0.082178 2.000633 0.000000 0.000000 2.000238 0.020589 -0.000079 0.391592 7.765085 7.591040 7.582925 7.451091 -0.305879
0.102169 1.991086 0.000083 0.000001 1.998056 0.003531 -0.000028 0.378911 7.779502 7.575108 7.597787 7.435174 -0.367006
0.122136 1.991086 0.000083 0.000001 1.995719 0.015792 -0.000083 0.378911 7.779502 7.575108 7.597787 7.435174 -0.367006
0.142081 1.991086 0.000083 0.000001 1.993452 0.017379 -0.000162 0.378911 7.779502 7.575108 7.597787 7.435174 -0.367006
0.162005 1.991086 0.000083 0.000001 1.991605 0.008913 -0.000115 0.378911 7.779502 7.575108 7.597787 7.435174 -0.367006
0.181914 1.991086 0.000083 0.000001 1.990490 0.010871 -0.000071 0.378911 7.779502 7.575108 7.597787 7.435174 -0.367006
0.201817 1.983095 0.000101 0.000001 1.990206 -0.001866 -0.000109 0.358277 7.765862 7.526025 7.585019 7.386176 -0.438680
0.221721 1.983095 0.000101 0.000001 1.990688 0.015355 -0.000083 0.358277 7.765862 7.526025 7.585019 7.386176 -0.438680
0.241633 1.983095 0.000101 0.000001 1.991596 0.019741 -0.000097 0.358277 7.765862 7.526025 7.585019 7.386176 -0.438680
0.261554 1.983095 0.000101 0.000001 1.992536 0.044252 -0.000043 0.358277 7.765862 7.526025 7.585019 7.386176 -0.438680
0.281483 1.983095 0.000101 0.000001 1.993253 0.084258 -0.000029 0.358277 7.765862 7.526025 7.585019 7.386176 -0.438680
0.301418 1.986260 0.000122 0.000001 1.993615 0.068477 -0.000056 0.367062 7.759903 7.527839 7.578921 7.387929 -0.423057
0.321354 1.986260 0.000122 0.000001 1.993569 0.107570 -0.000093 0.367062 7.759903 7.527839 7.578921 7.387929 -0.423057
