dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.000000 2.000000 0.000083 0.000001 2.000000 0.000000 0.000000 -0.000390 8.995710 8.992930 8.738928 8.730223 -0.011486
0.099732 2.000272 0.000101 0.000001 1.988719 0.000000 -0.000000 0.004462 9.952215 9.955544 9.687078 9.684278 0.000529
0.199713 2.000310 0.000122 0.000001 2.012316 -0.000097 -0.000000 -0.012734 7.976203 7.957619 7.724124 7.699467 -0.043242
0.301060 1.998950 0.000149 0.000001 2.041743 0.000450 0.000002 -0.006040 5.549888 5.540565 5.311903 5.297814 -0.023411
0.403701 1.996195 0.000182 0.000002 2.063480 -0.000903 -0.000002 0.000041 3.661333 3.661388 3.434005 3.430369 -0.003581
0.507178 1.992448 0.000222 0.000002 2.075106 -0.003870 -0.000011 0.002490 2.493569 2.497307 2.272800 2.273439 0.004378
0.611032 1.988139 0.000271 0.000002 2.078653 -0.005709 -0.000020 0.003730 1.904480 1.909493 1.687037 1.689242 0.007218
0.714932 1.983590 0.000331 0.000003 2.077106 -0.006028 -0.000029 0.003880 1.683127 1.687581 1.467009 1.468746 0.006191
0.818686 1.978994 0.000404 0.000004 2.072938 -0.005299 -0.000037 0.003365 1.653839 1.656721 1.438027 1.438173 0.003028
0.922205 1.974453 0.000493 0.000004 2.067748 -0.004017 -0.000043 0.002680 1.702651 1.703800 1.486742 1.485096 -0.000497
1.025458 1.970006 0.000601 0.000005 2.062385 -0.002604 -0.000048 0.002068 1.769107 1.768787 1.553015 1.549840 -0.003495
1.128448 1.965668 0.000731 0.000007 2.057207 -0.001321 -0.000050 0.001617 1.828177 1.826791 1.611945 1.607654 -0.005676
1.231185 1.961439 0.000890 0.000008 2.052303 -0.000272 -0.000051 0.001335 1.873995 1.871939 1.657692 1.652695 -0.007053
1.333684 1.957318 0.001084 0.000010 2.047649 0.000542 -0.000050 0.001198 1.908863 1.906460 1.692542 1.687174 -0.007771
1.435954 1.953305 0.001318 0.000012 2.043189 0.001166 -0.000048 0.001174 1.937163 1.934657 1.720853 1.715366 -0.007993
1.538006 1.949404 0.001603 0.000015 2.038880 0.001663 -0.000045 0.001235 1.962701 1.960267 1.746408 1.740983 -0.007859
1.639845 1.945617 0.001948 0.000018 2.034691 0.002092 -0.000041 0.001368 1.987954 1.985725 1.771672 1.766446 -0.007456
1.741477 1.941951 0.002367 0.000022 2.030612 0.002500 -0.000036 0.001562 2.014208 2.012285 1.797924 1.793001 -0.006846
1.842909 1.938409 0.002874 0.000026 2.026640 0.002928 -0.000031 0.001821 2.041922 2.040402 1.825621 1.821099 -0.006042
1.944144 1.934997 0.003489 0.000032 2.022780 0.003409 -0.000024 0.002147 2.071115 2.070088 1.854781 1.850754 -0.005054
2.045189 1.931718 0.004235 0.000039 2.019037 0.003970 -0.000017 0.002553 2.101595 2.101164 1.885213 1.881787 -0.003856
2.146050 1.928575 0.005138 0.000047 2.015419 0.004642 -0.000008 0.003052 2.133119 2.133400 1.916675 1.913969 -0.002424
2.246734 1.925571 0.006231 0.000057 2.011931 0.005453 0.000002 0.003660 2.165452 2.166581 1.948933 1.947087 -0.000717
2.347247 1.922708 0.007554 0.000069 2.008577 0.006437 0.000014 0.004400 2.198389 2.200525 1.981781 1.980962 0.001318
2.447595 1.919988 0.009155 0.000083 2.005362 0.007634 0.000028 0.005298 2.231749 2.235086 2.015040 2.015448 0.003744
2.547786 1.917412 0.011092 0.000101 2.002289 0.009091 0.000044 0.006383 2.265376 2.270144 2.048554 2.050425 0.006639
2.647827 1.914980 0.013436 0.000122 1.999358 0.010862 0.000064 0.007698 2.299119 2.305598 2.082169 2.085797 0.010107
2.747725 1.912692 0.016269 0.000148 1.996574 0.013014 0.000088 0.009288 2.332835 2.341363 2.115745 2.121478 0.014262
2.847488 1.910549 0.019696 0.000179 1.993935 0.015627 0.000116 0.011208 2.366381 2.377367 2.149137 2.157397 0.019246
2.947122 1.908549 0.023837 0.000217 1.991443 0.018795 0.000150 0.013527 2.399613 2.413548 2.182199 2.193497 0.025233
3.046635 1.906691 0.028841 0.000262 1.989099 0.022635 0.000191 0.016326 2.432382 2.449861 2.214781 2.229733 0.032430
3.146035 1.904974 0.034888 0.000317 1.986901 0.027286 0.000240 0.019704 2.464534 2.486274 2.246728 2.266075 0.041087
3.245329 1.903396 0.042191 0.000384 1.984849 0.032914 0.000299 0.023778 2.495906 2.522772 2.277874 2.302513 0.051504
3.344523 1.901955 0.051011 0.000464 1.982942 0.039721 0.000371 0.028691 2.526328 2.559361 2.308046 2.339056 0.064042
3.443626 1.900648 0.061660 0.000561 1.981179 0.047949 0.000457 0.034611 2.555616 2.596070 2.337057 2.375735 0.079132
3.542644 1.899472 0.074513 0.000679 1.979557 0.057891 0.000561 0.041743 2.583570 2.632953 2.364702 2.412611 0.097292
3.641585 1.898426 0.090022 0.000820 1.978075 0.069898 0.000686 0.050326 2.609973 2.670096 2.390759 2.449773 0.119138
3.740455 1.897505 0.108730 0.000991 1.976730 0.084392 0.000837 0.060651 2.634582 2.707618 2.414978 2.487347 0.145404
3.839261 1.896706 0.131287 0.001197 1.975520 0.101880 0.001020 0.073059 2.657130 2.745678 2.437084 2.525500 0.176964
3.938009 1.896025 0.158475 0.001446 1.974440 0.122969 0.001240 0.087955 2.677311 2.784479 2.456762 2.564443 0.214849
4.036707 1.895459 0.191228 0.001746 1.973489 0.148391 0.001505 0.105815 2.694783 2.824276 2.473660 2.604441 0.260274
4.135360 1.895004 0.230661 0.002108 1.972662 0.179014 0.001825 0.127196 2.709161 2.865381 2.487376 2.645818 0.314662
4.233975 1.894656 0.278104 0.002545 1.971956 0.215882 0.002210 0.152745 2.720006 2.908170 2.497459 2.688963 0.379668
4.332556 1.894411 0.335136 0.003071 1.971367 0.260232 0.002675 0.183206 2.726827 2.953087 2.503400 2.734338 0.457197
4.431111 1.894265 0.403628 0.003704 1.970891 0.313535 0.003234 0.219425 2.729077 3.000650 2.504629 2.782477 0.549420
4.529644 1.894213 0.485783 0.004467 1.970523 0.377532 0.003908 0.262349 2.726152 3.051452 2.500523 2.833994 0.658772
4.628160 1.894251 0.584185 0.005384 1.970259 0.454270 0.004717 0.313016 2.717404 3.106158 2.490405 2.889578 0.787927
4.726664 1.894377 0.701843 0.006486 1.970095 0.546149 0.005691 0.372529 2.702151 3.165492 2.473570 2.949978 0.939749
4.825160 1.894585 0.842228 0.007810 1.970025 0.655956 0.006859 0.442019 2.679715 3.230217 2.449309 3.015986 1.117179
4.923652 1.894873 1.009307 0.009397 1.970046 0.786904 0.008260 0.522565 2.649463 3.301097 2.416965 3.088394 1.323063
5.022143 1.895238 1.207546 0.011298 1.970151 0.942656 0.009938 0.615094 2.610887 3.378836 2.376007 3.167935 1.559876
5.120634 1.895676 1.441883 0.013571 1.970336 1.127326 0.011943 0.720219 2.563707 3.463990 2.326140 3.255193 1.829336
5.219129 1.896188 1.717654 0.016281 1.970595 1.345457 0.014335 0.838028 2.508017 3.556848 2.267454 3.350474 2.131851
5.317626 1.896772 2.040429 0.019506 1.970924 1.601944 0.017180 0.967811 2.444483 3.657273 2.200633 3.453653 2.465811
5.416124 1.897430 2.415759 0.023331 1.971319 1.901893 0.020555 1.107729 2.374551 3.764491 2.127166 3.563947 2.826721
5.514621 1.898164 2.848774 0.027852 1.971774 2.250391 0.024544 1.254446 2.300648 3.876812 2.049560 3.679638 3.206241
5.613112 1.898980 3.343620 0.033171 1.972289 2.652165 0.029240 1.402779 2.226576 3.991504 1.971738 3.797928 3.591118
5.711588 1.899887 3.902714 0.039400 1.972863 3.111100 0.034740 1.545424 2.157609 4.104508 1.899147 3.914655 3.962407
5.810040 1.900894 4.525806 0.046647 1.973501 3.629623 0.041145 1.672881 2.100577 4.210322 1.838844 4.024162 4.295063
