dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.000000 2.000000 0.000083 0.000001 2.000000 0.000000 0.000000 -0.000598 4.454040 4.452234 4.367111 4.362959 -0.005958
0.099732 2.000272 0.000101 0.000001 1.988719 0.000000 -0.000000 0.001568 6.898812 6.898748 6.765944 6.762355 -0.003653
0.198870 2.001166 0.000122 0.000001 1.976796 0.000000 -0.000000 0.002235 8.425182 8.425556 8.267099 8.263226 -0.003499
0.297832 2.002289 0.000147 0.000001 1.982559 -0.000108 -0.000000 -0.000391 8.972997 8.970201 8.803920 8.796487 -0.010229
0.397129 2.003119 0.000178 0.000002 1.989312 -0.000334 -0.000001 -0.000728 9.052418 9.048972 8.878848 8.870679 -0.011616
0.497137 2.003259 0.000217 0.000002 2.011828 -0.000181 -0.000001 -0.004268 8.397169 8.389394 8.225428 8.213016 -0.020187
0.598314 2.002201 0.000264 0.000002 2.035240 0.000414 0.000001 -0.005627 7.359454 7.349654 7.191921 7.177797 -0.023924
0.700720 1.999824 0.000322 0.000003 2.061119 0.000711 0.000002 -0.006359 6.024822 6.013846 5.862886 5.848037 -0.025825
0.804426 1.995995 0.000394 0.000004 2.087143 0.000559 0.000003 -0.006631 4.506419 4.494923 4.350567 4.335735 -0.026328
0.909274 1.990808 0.000482 0.000004 2.106411 -0.000532 0.000001 -0.004132 3.072286 3.063712 2.921296 2.910005 -0.019865
1.015066 1.984412 0.000592 0.000005 2.125272 -0.002550 -0.000005 -0.002560 1.642235 1.635828 1.495856 1.487327 -0.014936
1.121533 1.977032 0.000727 0.000007 2.132773 -0.005088 -0.000015 0.001587 0.541197 0.540039 0.397162 0.394461 -0.003858
1.228342 1.968977 0.000893 0.000008 2.139581 -0.007946 -0.000030 0.004026 -0.423670 -0.421356 -0.565798 -0.564549 0.003563
1.335221 1.960508 0.001096 0.000010 2.134986 -0.010286 -0.000048 0.007654 -0.978310 -0.971337 -1.120727 -1.114448 0.013252
1.441838 1.951963 0.001344 0.000012 2.129695 -0.011946 -0.000069 0.009460 -1.340728 -1.331264 -1.483786 -1.474777 0.018474
1.547996 1.943557 0.001646 0.000015 2.116177 -0.012303 -0.000090 0.011132 -1.349465 -1.338061 -1.494636 -1.483595 0.022446
1.653454 1.935559 0.002013 0.000018 2.102160 -0.011397 -0.000109 0.011381 -1.178834 -1.167366 -1.326279 -1.315205 0.022541
