dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.000000 2.000000 0.000069 0.000001 2.000000 0.000000 0.000000 0.000091 9.877860 9.878261 9.877860 9.878261 0.000802
0.099433 2.000576 0.000083 0.000001 1.976133 0.000000 -0.000000 0.000100 9.310744 9.311203 9.310744 9.311203 0.000918
0.198549 2.001514 0.000101 0.000001 1.990456 0.000016 0.000000 0.000097 7.223947 7.224392 7.223947 7.224392 0.000891
0.298429 2.001712 0.000122 0.000001 2.004620 0.000051 0.000000 0.000097 6.317097 6.317542 6.317097 6.317542 0.000890
0.398812 2.001400 0.000148 0.000001 2.010257 0.000095 0.000000 0.000100 6.129070 6.129534 6.129070 6.129534 0.000929
0.499367 2.000890 0.000179 0.000002 2.011776 0.000141 0.000001 0.000108 6.091465 6.091973 6.091465 6.091973 0.001016
0.599971 2.000303 0.000218 0.000002 2.012330 0.000188 0.000001 0.000120 6.043208 6.043789 6.043208 6.043789 0.001162
0.700596 1.999663 0.000264 0.000002 2.012689 0.000238 0.000001 0.000139 5.988915 5.989602 5.988915 5.989602 0.001373
0.801235 1.998979 0.000320 0.000003 2.012846 0.000292 0.000002 0.000163 5.944555 5.945383 5.944555 5.945383 0.001656
0.901876 1.998260 0.000389 0.000004 2.012774 0.000353 0.000002 0.000195 5.911904 5.912914 5.911904 5.912914 0.002019
1.002508 1.997518 0.000471 0.000004 2.012514 0.000423 0.000003 0.000234 5.887699 5.888935 5.887699 5.888935 0.002471
1.103124 1.996762 0.000572 0.000005 2.012116 0.000506 0.000004 0.000283 5.869317 5.870831 5.869317 5.870831 0.003028
1.203717 1.995997 0.000694 0.000006 2.011618 0.000605 0.000005 0.000343 5.855312 5.857166 5.855312 5.857166 0.003708
1.304284 1.995230 0.000841 0.000008 2.011044 0.000725 0.000006 0.000416 5.844787 5.847054 5.844787 5.847054 0.004534
1.404821 1.994466 0.001021 0.000009 2.010416 0.000870 0.000008 0.000505 5.837051 5.839818 5.837051 5.839818 0.005535
1.505325 1.993708 0.001238 0.000011 2.009747 0.001047 0.000010 0.000613 5.831544 5.834918 5.831544 5.834918 0.006747
1.605795 1.992960 0.001501 0.000014 2.009051 0.001261 0.000012 0.000744 5.827819 5.831927 5.827819 5.831927 0.008215
1.706229 1.992224 0.001820 0.000017 2.008337 0.001521 0.000015 0.000903 5.825523 5.830519 5.825523 5.830519 0.009990
1.806628 1.991504 0.002207 0.000020 2.007613 0.001836 0.000018 0.001095 5.824375 5.830445 5.824375 5.830445 0.012139
1.906991 1.990801 0.002676 0.000024 2.006886 0.002219 0.000022 0.001328 5.824146 5.831516 5.824146 5.831516 0.014740
2.007317 1.990117 0.003244 0.000029 2.006161 0.002684 0.000026 0.001610 5.824646 5.833590 5.824646 5.833590 0.017888
2.107607 1.989454 0.003933 0.000036 2.005442 0.003248 0.000032 0.001951 5.825712 5.836562 5.825712 5.836562 0.021699
2.207861 1.988813 0.004767 0.000043 2.004733 0.003932 0.000039 0.002365 5.827202 5.840358 5.827202 5.840358 0.026313
2.308080 1.988195 0.005778 0.000053 2.004038 0.004761 0.000047 0.002866 5.828983 5.844932 5.828982 5.844931 0.031898
2.408265 1.987601 0.007003 0.000064 2.003358 0.005766 0.000057 0.003473 5.830930 5.850260 5.830929 5.850259 0.038660
2.508416 1.987033 0.008488 0.000077 2.002695 0.006984 0.000069 0.004207 5.832918 5.856341 5.832917 5.856339 0.046846
2.608535 1.986490 0.010285 0.000094 2.002053 0.008459 0.000084 0.005097 5.834818 5.863195 5.834816 5.863193 0.056755
2.708622 1.985974 0.012463 0.000113 2.001431 0.010246 0.000102 0.006173 5.836494 5.870868 5.836491 5.870866 0.068749
2.808679 1.985485 0.015100 0.000137 2.000832 0.012411 0.000123 0.007476 5.837793 5.879425 5.837789 5.879422 0.083265
2.908706 1.985023 0.018294 0.000166 2.000257 0.015033 0.000150 0.009053 5.838547 5.888963 5.838542 5.888958 0.100832
3.008705 1.984588 0.022162 0.000202 1.999706 0.018207 0.000181 0.010961 5.838564 5.899607 5.838556 5.899599 0.122085
3.108677 1.984182 0.026845 0.000244 1.999181 0.022051 0.000220 0.013269 5.837621 5.911518 5.837609 5.911506 0.147793
3.208624 1.983802 0.032514 0.000296 1.998681 0.026704 0.000266 0.016060 5.835459 5.924900 5.835441 5.924882 0.178882
3.308546 1.983451 0.039377 0.000358 1.998208 0.032337 0.000322 0.019435 5.831773 5.940007 5.831747 5.939981 0.216467
3.408445 1.983127 0.047683 0.000434 1.997761 0.039154 0.000390 0.023514 5.826206 5.957150 5.826169 5.957113 0.261888
3.508322 1.982830 0.057734 0.000526 1.997341 0.047403 0.000472 0.028442 5.818334 5.976712 5.818280 5.976657 0.316754
3.608180 1.982560 0.069895 0.000636 1.996949 0.057384 0.000572 0.034392 5.807658 5.999156 5.807579 5.999076 0.382994
3.708018 1.982317 0.084603 0.000771 1.996584 0.069456 0.000693 0.041572 5.793587 6.025044 5.793470 6.024928 0.462915
3.807838 1.982100 0.102389 0.000933 1.996245 0.084055 0.000839 0.050230 5.775420 6.055052 5.775250 6.054883 0.559265
3.907643 1.981909 0.123888 0.001130 1.995934 0.101704 0.001015 0.060661 5.752334 6.089992 5.752086 6.089744 0.675315
4.007432 1.981743 0.149867 0.001367 1.995650 0.123032 0.001229 0.073214 5.723362 6.130829 5.723001 6.130468 0.814934
4.107208 1.981601 0.181244 0.001655 1.995392 0.148796 0.001487 0.088302 5.687373 6.178712 5.686848 6.178187 0.982678
4.206971 1.981483 0.219118 0.002002 1.995160 0.179901 0.001799 0.106407 5.643055 6.234993 5.642290 6.234229 1.183877
4.306723 1.981389 0.264804 0.002422 1.994955 0.217431 0.002176 0.128092 5.588896 6.301254 5.587787 6.300146 1.424718
4.406465 1.981317 0.319868 0.002930 1.994775 0.262679 0.002632 0.154003 5.523177 6.379330 5.521571 6.377726 1.712307
4.506199 1.981267 0.386170 0.003542 1.994621 0.317185 0.003182 0.184878 5.443973 6.471320 5.441655 6.469005 2.054696
4.605924 1.981238 0.465909 0.004282 1.994493 0.382770 0.003846 0.221542 5.349169 6.579594 5.345832 6.576263 2.460856
4.705643 1.981230 0.561668 0.005174 1.994390 0.461583 0.004646 0.264898 5.236504 6.706772 5.231720 6.701999 2.940547
4.805356 1.981242 0.676468 0.006248 1.994313 0.556141 0.005610 0.315909 5.103663 6.855672 5.096837 6.848863 3.504035
4.905064 1.981274 0.813803 0.007541 1.994263 0.669374 0.006771 0.375555 4.948408 7.029204 4.938723 7.019548 4.161621
5.004766 1.981325 0.977680 0.009096 1.994241 0.804660 0.008165 0.444775 4.768792 7.230198 4.755143 7.216598 4.922861
5.104465 1.981396 1.172629 0.010962 1.994248 0.965845 0.009839 0.524363 4.563469 7.461127 4.544390 7.442130 5.795398
5.204158 1.981487 1.403677 0.013198 1.994289 1.157253 0.011844 0.614836 4.332102 7.723698 4.305693 7.697423 6.783327
5.303845 1.981600 1.676281 0.015872 1.994368 1.383644 0.014240 0.716247 4.075897 8.018286 4.039766 7.982371 7.884994
5.403526 1.981735 1.996170 0.019060 1.994490 1.650134 0.017097 0.827944 3.798241 8.343181 3.749494 8.294774 9.090220
5.503197 1.981896 2.369092 0.022851 1.994664 1.962041 0.020493 0.948291 3.505402 8.693657 3.440717 8.629494 10.377032
5.602855 1.982087 2.800413 0.027341 1.994900 2.324626 0.024516 1.074356 3.207222 9.060916 3.123061 8.977534 11.708166
5.702495 1.982313 3.294542 0.032636 1.995212 2.742724 0.029259 1.201621 2.917652 9.431021 2.810671 9.325163 13.027862
5.802110 1.982582 3.854172 0.038849 1.995614 3.220233 0.034826 1.323770 2.654961 9.784063 2.522654 9.653306 14.259753
5.901692 1.982905 4.479308 0.046094 1.996123 3.759453 0.041321 1.432643 2.441441 10.093854 2.283008 9.937455 15.306860
6.001230 1.983294 5.166158 0.054484 1.996755 4.360295 0.048850 1.518463 2.302340 10.328669 2.119666 10.148508 16.055171
6.100710 1.983765 5.905977 0.064119 1.997523 5.019411 0.057512 1.570407 2.264229 10.453115 2.062757 10.254534 16.380663
6.200120 1.984334 6.684047 0.075082 1.998436 5.729322 0.067392 1.577561 2.352420 10.431823 2.141549 10.224006 16.161860
6.299443 1.985021 7.479073 0.087420 1.999492 6.477696 0.078557 1.530207 2.588136 10.234302 2.380761 10.029838 15.295243
6.398666 1.985845 8.263266 0.101141 2.000677 7.246928 0.091040 1.421287 2.985456 9.840615 2.796375 9.653971 13.712757
6.497777 1.986823 9.003390 0.116199 2.001965 8.014209 0.104838 1.247801 3.548650 9.246469 3.391882 9.091424 11.397362
6.596770 1.987966 9.662872 0.132483 2.003318 8.752222 0.119902 1.011818 4.270084 8.466576 4.155588 8.353026 8.393930
6.695648 1.989277 10.204864 0.149820 2.004691 9.430536 0.136133 0.720852 5.129289 7.534737 5.059974 7.465745 4.811218
6.794422 1.990750 10.595867 0.167974 2.006040 10.017629 0.153379 0.387419 6.093247 6.500698 6.063277 6.470713 0.814888
6.893118 1.992365 10.809345 0.186655 2.007330 10.483357 0.171438 0.027793 7.118430 5.423688 7.113555 5.418732 -3.389565
6.991772 1.994089 10.828680 0.205538 2.008540 10.801552 0.190067 -0.339839 8.154503 4.364459 8.154495 4.364426 -7.580113
7.090430 1.995877 10.648944 0.224278 2.009664 10.952357 0.208986 -0.697493 9.149486 3.377683 9.132043 3.360156 -11.543690
7.189144 1.997674 10.277173 0.242535 2.010712 10.923944 0.227899 -1.029375 10.055725 2.506200 10.000718 2.450691 -15.099553
7.287969 1.999421 9.731122 0.259992 2.011697 10.713342 0.246499 -1.323425 10.835585 1.777793 10.728437 1.669245 -18.116985
7.386956 2.001062 9.036725 0.276371 2.012636 10.326263 0.264488 -1.572249 11.465614 1.204498 11.299016 1.035189 -20.524943
7.486147 2.002544 8.224701 0.291442 2.013539 9.776003 0.281586 -1.773375 11.938570 0.783836 11.712361 0.553405 -22.313690
7.585574 2.003825 7.326848 0.305029 2.014411 9.081620 0.297541 -1.928958 12.263029 0.501363 11.982636 0.215274 -23.529028
7.685253 2.004876 6.372567 0.317009 2.015250 8.265672 0.312136 -2.045045 12.461302 0.333491 12.135345 0.000576 -24.262580
7.785187 2.005682 5.386069 0.327303 2.016053 7.351832 0.325190 -2.130588 12.565782 0.250569 12.203551 -0.119597 -24.638361
7.885367 2.006240 4.384537 0.335866 2.016815 6.362638 0.336560 -2.196326 12.614682 0.219879 12.224003 -0.179458 -24.798264
