dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.000000 2.000000 0.000083 0.000001 2.000000 0.000000 0.000000 0.000107 5.195517 5.195572 5.195517 5.195572 0.000112
0.099433 2.000576 0.000101 0.000001 1.976133 0.000000 -0.000000 0.000150 7.116078 7.116154 7.116078 7.116154 0.000152
0.197612 2.002465 0.000121 0.000001 1.951075 0.000000 0.000000 0.000185 8.278055 8.278147 8.278055 8.278147 0.000184
0.295037 2.005224 0.000146 0.000001 1.946925 0.000016 0.000000 0.000197 9.007852 9.007956 9.007852 9.007956 0.000209
0.392308 2.008268 0.000176 0.000002 1.943941 0.000049 0.000000 0.000207 9.366160 9.366277 9.366160 9.366277 0.000233
0.489724 2.011304 0.000212 0.000002 1.953272 0.000099 0.000000 0.000203 9.486984 9.487111 9.486984 9.487111 0.000252
0.587636 2.013960 0.000257 0.000002 1.963215 0.000163 0.000001 0.000201 9.384193 9.384331 9.384193 9.384331 0.000275
0.686147 2.016107 0.000311 0.000003 1.977425 0.000236 0.000001 0.000202 9.159991 9.160144 9.159991 9.160144 0.000306
0.785378 2.017591 0.000376 0.000003 1.991781 0.000316 0.000002 0.000213 8.834523 8.834701 8.834523 8.834701 0.000354
0.885326 2.018379 0.000456 0.000004 2.006113 0.000397 0.000002 0.000242 8.463178 8.463392 8.463178 8.463392 0.000428
0.985988 2.018437 0.000554 0.000005 2.020353 0.000478 0.000003 0.000293 8.062973 8.063240 8.062973 8.063240 0.000533
1.087308 2.017787 0.000674 0.000006 2.032312 0.000563 0.000004 0.000368 7.660006 7.660344 7.660006 7.660344 0.000677
1.189217 2.016467 0.000821 0.000007 2.044065 0.000650 0.000005 0.000479 7.269975 7.270406 7.269975 7.270406 0.000864
1.291640 2.014524 0.001000 0.000009 2.052674 0.000750 0.000007 0.000613 6.899626 6.900175 6.899626 6.900175 0.001099
1.394483 2.012030 0.001219 0.000011 2.061047 0.000865 0.000008 0.000797 6.562396 6.563091 6.562396 6.563091 0.001390
1.497669 2.009041 0.001487 0.000014 2.066213 0.001014 0.000010 0.000996 6.254170 6.255040 6.254170 6.255040 0.001740
1.601104 2.005638 0.001815 0.000016 2.071161 0.001196 0.000012 0.001263 5.985756 5.986838 5.985756 5.986838 0.002164
1.704718 2.001879 0.002214 0.000020 2.073265 0.001440 0.000015 0.001541 5.747924 5.749257 5.747924 5.749257 0.002665
1.808429 1.997839 0.002703 0.000025 2.075190 0.001742 0.000018 0.001914 5.548774 5.550409 5.548774 5.550409 0.003271
1.912182 1.993571 0.003298 0.000030 2.074812 0.002137 0.000022 0.002299 5.377613 5.379607 5.377613 5.379607 0.003989
2.015910 1.989141 0.004025 0.000037 2.074301 0.002619 0.000027 0.002822 5.240087 5.242518 5.240087 5.242518 0.004863
2.119571 1.984592 0.004910 0.000045 2.072059 0.003232 0.000033 0.003372 5.126103 5.129058 5.126103 5.129058 0.005909
2.223116 1.979980 0.005988 0.000054 2.069729 0.003967 0.000041 0.004125 5.039287 5.042881 5.039287 5.042881 0.007189
2.326515 1.975339 0.007299 0.000066 2.066190 0.004884 0.000050 0.004934 4.971125 4.975491 4.971125 4.975491 0.008733
2.429735 1.970712 0.008895 0.000081 2.062602 0.005970 0.000061 0.006043 4.923702 4.929016 4.923701 4.929015 0.010629
2.532757 1.966127 0.010835 0.000099 2.058243 0.007317 0.000075 0.007244 4.890384 4.896844 4.890383 4.896844 0.012921
2.635560 1.961615 0.013192 0.000120 2.053866 0.008903 0.000091 0.008890 4.872162 4.880029 4.872161 4.880029 0.015735
2.738133 1.957198 0.016053 0.000146 2.049062 0.010869 0.000111 0.010673 4.864196 4.873764 4.864195 4.873762 0.019136
2.840466 1.952899 0.019526 0.000178 2.044263 0.013184 0.000135 0.013107 4.866743 4.878393 4.866742 4.878392 0.023300
2.942556 1.948733 0.023738 0.000216 2.039297 0.016059 0.000165 0.015733 4.876489 4.890649 4.876486 4.890647 0.028321
3.044397 1.944718 0.028843 0.000262 2.034352 0.019450 0.000201 0.019307 4.893223 4.910450 4.893220 4.910447 0.034454
3.145991 1.940862 0.035027 0.000319 2.029426 0.023667 0.000244 0.023151 4.914827 4.935742 4.914822 4.935736 0.041830
3.247340 1.937179 0.042516 0.000387 2.024532 0.028644 0.000296 0.028367 4.940803 4.966212 4.940795 4.966204 0.050819
3.348447 1.933676 0.051578 0.000469 2.019788 0.034835 0.000360 0.033964 4.969909 5.000714 4.969898 5.000702 0.061610
3.449319 1.930359 0.062538 0.000569 2.015081 0.042139 0.000437 0.041543 5.001468 5.038836 5.001451 5.038819 0.074737
3.549961 1.927235 0.075788 0.000690 2.010612 0.051215 0.000531 0.049666 5.034844 5.080078 5.034819 5.080053 0.090469
3.650381 1.924305 0.091795 0.000836 2.006184 0.061912 0.000643 0.060647 5.069232 5.124019 5.069196 5.123983 0.109574
3.750586 1.921575 0.111123 0.001013 2.002051 0.075182 0.000780 0.072402 5.104389 5.170606 5.104336 5.170552 0.132433
