dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.000000 2.000000 -0.000000 0.100000 2.000000 0.000000 0.100000 0.028428 8.983563 9.000991 8.726119 8.739641 0.030950
0.099732 2.000272 -0.000000 0.100000 1.988719 0.000000 0.100000 0.015315 9.952138 9.950647 9.686848 9.680261 -0.008079
0.199713 2.000310 -0.000001 0.100000 2.012309 0.004271 0.100013 -0.009736 7.984730 7.948606 7.732702 7.691026 -0.077800
0.301059 1.998951 -0.000001 0.100000 2.041726 0.011134 0.100038 -0.002671 5.559686 5.532271 5.321745 5.290022 -0.059139
0.403699 1.996197 -0.000001 0.100000 2.063462 0.013561 0.100059 0.002374 3.671581 3.652145 3.444329 3.421545 -0.042220
0.507176 1.992450 -0.000002 0.100000 2.075091 0.012589 0.100078 0.003564 2.503806 2.486785 2.283147 2.263245 -0.036923
0.611029 1.988143 -0.000003 0.100000 2.078641 0.011953 0.100101 0.003891 1.914454 1.898311 1.697145 1.678303 -0.034986
0.714928 1.983594 -0.000005 0.100000 2.077094 0.012224 0.100125 0.003253 1.692946 1.676337 1.476981 1.457662 -0.035929
0.818682 1.978999 -0.000007 0.100000 2.072924 0.013034 0.100150 0.002104 1.663571 1.645898 1.447922 1.427430 -0.038165
0.922199 1.974459 -0.000011 0.100000 2.067731 0.013989 0.100177 0.000955 1.712238 1.693698 1.496497 1.475003 -0.040034
1.025452 1.970014 -0.000016 0.100000 2.062366 0.014751 0.100204 0.000019 1.778422 1.759530 1.562500 1.540527 -0.040866
1.128441 1.965677 -0.000024 0.100000 2.057188 0.015136 0.100232 -0.000653 1.837076 1.818383 1.621013 1.599133 -0.040573
1.231177 1.961449 -0.000036 0.100000 2.052284 0.015114 0.100260 -0.001093 1.882369 1.864325 1.666234 1.644918 -0.039360
1.333675 1.957329 -0.000055 0.100000 2.047630 0.014741 0.100286 -0.001359 1.916651 1.899562 1.700495 1.680068 -0.037515
1.435944 1.953318 -0.000082 0.100000 2.043173 0.014108 0.100312 -0.001514 1.944355 1.928392 1.728207 1.708853 -0.035317
1.537995 1.949418 -0.000124 0.100000 2.038865 0.013306 0.100336 -0.001609 1.969329 1.954551 1.753198 1.734982 -0.032994
1.639834 1.945633 -0.000185 0.099999 2.034678 0.012404 0.100359 -0.001691 1.994090 1.980470 1.777971 1.760871 -0.030721
1.741465 1.941968 -0.000278 0.099999 2.030600 0.011452 0.100379 -0.001793 2.019944 2.007392 1.803826 1.787754 -0.028623
1.842896 1.938427 -0.000417 0.099999 2.026630 0.010476 0.100399 -0.001954 2.047383 2.035753 1.831254 1.816064 -0.026820
1.944131 1.935016 -0.000624 0.099998 2.022771 0.009484 0.100416 -0.002217 2.076448 2.065537 1.860297 1.845783 -0.025425
2.045176 1.931737 -0.000934 0.099997 2.019030 0.008465 0.100431 -0.002639 2.106992 2.096522 1.890810 1.876691 -0.024588
2.146037 1.928595 -0.001396 0.099995 2.015414 0.007393 0.100444 -0.003302 2.138829 2.128422 1.922609 1.908500 -0.024515
2.246720 1.925592 -0.002086 0.099993 2.011927 0.006222 0.100455 -0.004325 2.171804 2.160936 1.955546 1.940910 -0.025504
2.347232 1.922730 -0.003116 0.099989 2.008575 0.004878 0.100464 -0.005882 2.205831 2.193760 1.989538 1.973614 -0.027995
2.447581 1.920011 -0.004650 0.099984 2.005361 0.003252 0.100470 -0.008235 2.240912 2.226568 2.024594 2.006285 -0.032653
2.547772 1.917436 -0.006935 0.099975 2.002288 0.001181 0.100471 -0.011766 2.277143 2.258979 2.060821 2.038536 -0.040450
2.647813 1.915004 -0.010337 0.099963 1.999359 -0.001578 0.100468 -0.017043 2.314758 2.290508 2.098467 2.069876 -0.052841
2.747711 1.912718 -0.015399 0.099945 1.996575 -0.005380 0.100457 -0.024909 2.354173 2.320508 2.137968 2.099648 -0.071985
2.847474 1.910575 -0.022927 0.099919 1.993938 -0.010757 0.100435 -0.036602 2.396059 2.348085 2.180028 2.126941 -0.101062
2.947108 1.908575 -0.034116 0.099879 1.991447 -0.018491 0.100400 -0.053950 2.441469 2.371973 2.225743 2.150466 -0.144774
3.046622 1.906718 -0.050735 0.099820 1.989103 -0.029739 0.100342 -0.079630 2.492000 2.390369 2.276775 2.168386 -0.210020
3.146022 1.905001 -0.075400 0.099732 1.986906 -0.046213 0.100254 -0.117548 2.550034 2.400690 2.335603 2.178065 -0.306881
3.245315 1.903424 -0.111974 0.099601 1.984854 -0.070434 0.100119 -0.173346 2.619076 2.399244 2.405868 2.175737 -0.449962
3.344510 1.901983 -0.166144 0.099408 1.982947 -0.106111 0.099916 -0.255074 2.704189 2.380793 2.492832 2.156057 -0.660171
3.443613 1.900677 -0.246248 0.099121 1.981181 -0.158677 0.099614 -0.373992 2.812545 2.338027 2.603940 2.111561 -0.966897
3.542630 1.899504 -0.364444 0.098695 1.979553 -0.236044 0.099164 -0.545348 2.954003 2.261029 2.749430 2.032122 -1.410282
3.641568 1.898460 -0.538303 0.098067 1.978056 -0.349628 0.098499 -0.788760 3.141517 2.136954 2.942745 1.904615 -2.042694
3.740431 1.897547 -0.792896 0.097139 1.976680 -0.515692 0.097520 -1.127268 3.390879 1.950484 3.200265 1.713377 -2.927282
3.839223 1.896763 -1.163268 0.095773 1.975405 -0.756930 0.096086 -1.583374 3.718809 1.686067 3.539313 1.442473 -4.129583
3.937941 1.896116 -1.696879 0.093770 1.974196 -1.104047 0.094001 -2.169544 4.138008 1.333600 3.972998 1.081470 -5.695936
4.036576 1.895618 -2.454748 0.090850 1.972995 -1.596623 0.090997 -2.870973 4.647520 0.898867 4.500176 0.636059 -7.612771
4.135103 1.895298 -3.508569 0.086631 1.971722 -2.281812 0.086726 -3.622547 5.219227 0.418285 5.091381 0.143052 -9.749271
4.233476 1.895210 -4.928976 0.080607 1.970292 -3.208591 0.080766 -4.291660 5.785987 -0.028272 5.676452 -0.316539 -11.807250
4.331621 1.895436 -6.758617 0.072156 1.968686 -4.414991 0.072647 -4.688330 6.242425 -0.318585 6.145335 -0.618593 -13.324939
4.429439 1.896090 -8.967052 0.060587 1.967073 -5.907781 0.061921 -4.617876 6.466865 -0.312715 6.371022 -0.620833 -13.771436
4.526825 1.897296 -11.398439 0.045251 1.965889 -7.639226 0.048265 -3.961895 6.358517 0.100782 6.248636 -0.209604 -12.715976
4.623708 1.899147 -13.746338 0.025752 1.965724 -9.491921 0.031592 -2.744013 5.872618 0.955890 5.732695 0.650696 -9.998727
4.720095 1.901663 -15.599505 0.002193 1.966973 -11.284028 0.012124 -1.141349 5.039715 2.177837 4.857533 1.886004 -5.833408
4.816092 1.904759 -16.567083 -0.024617 1.969514 -12.799954 -0.009590 0.565170 3.966336 3.588620 3.737262 3.317684 -0.797295
4.911896 1.908256 -16.426942 -0.053160 1.972751 -13.839247 -0.032741 2.080251 2.815579 4.956904 2.543772 4.711997 4.309549
5.007746 1.911916 -15.214557 -0.081489 1.976032 -14.267172 -0.056371 3.187867 1.767377 6.076617 1.463712 5.858927 8.704455
5.103875 1.915498 -13.206064 -0.107716 1.979040 -14.048248 -0.079523 3.807121 0.968727 6.830256 0.646632 6.636724 11.851621
5.200464 1.918802 -10.807182 -0.130463 1.981854 -13.249637 -0.101365 3.983206 0.495076 7.199248 0.166689 7.023780 13.561264
5.297620 1.921697 -8.407891 -0.149076 1.984701 -12.013874 -0.121275 3.829826 0.340823 7.229965 0.015138 7.065386 13.939389
5.395373 1.924121 -6.277991 -0.163573 1.987711 -10.514850 -0.138867 3.470602 0.440399 6.996034 0.123172 6.835784 13.268248
5.493697 1.926073 -4.541148 -0.174423 1.990857 -8.917082 -0.153970 3.008867 0.702412 6.578367 0.396795 6.417449 11.896609
5.592526 1.927590 -3.208278 -0.182292 1.994008 -7.351193 -0.166597 2.520048 1.040669 6.055679 0.747886 5.890891 10.158015
5.691777 1.928733 -2.228457 -0.187866 1.997000 -5.906229 -0.176893 2.053064 1.391618 5.496842 1.111556 5.326532 8.320199
5.791363 1.929570 -1.529489 -0.191748 1.999680 -4.632727 -0.185091 1.635063 1.717958 4.955172 1.449656 4.778792 6.566350
5.891204 1.930166 -1.041118 -0.194417 2.001948 -3.550589 -0.191467 1.277449 2.003057 4.466209 1.745092 4.283883 5.001943
5.991232 1.930577 -0.704704 -0.196236 2.003761 -2.658146 -0.196310 0.981515 2.243074 4.048793 1.993843 3.860994 3.672871
6.091392 1.930852 -0.475187 -0.197469 2.005133 -1.940409 -0.199896 0.742805 2.440440 3.708339 2.198357 3.515683 2.585225
6.191641 1.931027 -0.319610 -0.198301 2.006119 -1.375565 -0.202477 0.554137 2.599824 3.441001 2.363437 3.244128 1.721868
6.291949 1.931130 -0.214608 -0.198860 2.006792 -0.939567 -0.204268 0.407513 2.726143 3.237635 2.494194 3.037154 1.054452
6.392293 1.931180 -0.143942 -0.199236 2.007227 -0.609017 -0.205454 0.295158 2.824066 3.087001 2.595512 2.883458 0.550881
6.492659 1.931191 -0.096474 -0.199488 2.007493 -0.362762 -0.206183 0.210123 2.897888 2.977968 2.671888 2.771842 0.180035
6.593036 1.931171 -0.064629 -0.199657 2.007643 -0.182596 -0.206574 0.146490 2.951574 2.900695 2.727469 2.692393 -0.085955
6.693420 1.931125 -0.043282 -0.199771 2.007715 -0.053397 -0.206719 0.099376 2.988790 2.847081 2.766071 2.636947 -0.270832
6.793807 1.931058 -0.028980 -0.199846 2.007734 0.037068 -0.206689 0.064840 3.012872 2.810773 2.791153 2.599091 -0.394161
