dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.000000 2.000000 -0.000000 0.100000 2.000000 0.000000 0.100000 0.007007 4.451166 4.453918 4.364114 4.364952 0.003590
0.099732 2.000272 -0.000000 0.100000 1.988719 0.000000 0.100000 0.010772 6.895657 6.899920 6.762637 6.763970 0.005596
0.198870 2.001166 -0.000001 0.100000 1.976796 0.000000 0.100000 0.011716 8.422260 8.426137 8.264019 8.264314 0.004171
0.297832 2.002289 -0.000001 0.100000 1.982556 0.001030 0.100003 0.007061 8.971853 8.969381 8.802657 8.796156 -0.008972
0.397128 2.003119 -0.000001 0.100000 1.989308 0.003166 0.100011 0.004678 9.053033 9.046725 8.879389 8.868879 -0.016819
0.497137 2.003259 -0.000002 0.100000 2.011819 0.006403 0.100024 -0.001720 8.400230 8.385515 8.228477 8.209501 -0.033691
0.598313 2.002202 -0.000003 0.100000 2.035227 0.010560 0.100045 -0.005828 7.364847 7.344144 7.197364 7.172555 -0.045511
0.700718 1.999827 -0.000004 0.100000 2.061103 0.013975 0.100070 -0.008380 6.031866 6.007305 5.870026 5.841681 -0.052905
0.804423 1.995998 -0.000007 0.100000 2.087123 0.016330 0.100099 -0.010507 4.514969 4.487419 4.359258 4.328327 -0.058481
0.909270 1.990813 -0.000010 0.100000 2.106391 0.016644 0.100127 -0.008386 3.081116 3.056086 2.930281 2.902419 -0.052892
1.015061 1.984417 -0.000016 0.100000 2.125253 0.014966 0.100153 -0.007303 1.651219 1.628197 1.505009 1.479679 -0.048350
1.121527 1.977038 -0.000024 0.100000 2.132755 0.011779 0.100174 -0.002646 0.549387 0.532928 0.405513 0.387304 -0.034668
1.228335 1.968985 -0.000037 0.100000 2.139566 0.007461 0.100187 0.000205 -0.416314 -0.427831 -0.558290 -0.571096 -0.024324
1.335214 1.960517 -0.000057 0.100000 2.134974 0.003213 0.100194 0.004498 -0.972137 -0.977101 -1.114419 -1.120297 -0.010843
1.441830 1.951973 -0.000086 0.100000 2.129686 -0.000621 0.100194 0.006880 -1.335657 -1.336257 -1.478595 -1.479866 -0.001871
1.547988 1.943567 -0.000132 0.100000 2.116170 -0.003095 0.100191 0.008884 -1.345360 -1.342482 -1.490424 -1.488125 0.005177
1.653446 1.935570 -0.000200 0.099999 2.102155 -0.004158 0.100186 0.009340 -1.175506 -1.171245 -1.322853 -1.319205 0.007909
1.758117 1.928107 -0.000302 0.099999 2.084484 -0.003618 0.100182 0.008608 -0.789724 -0.785983 -0.939883 -0.936930 0.006694
1.861894 1.921326 -0.000455 0.099998 2.066593 -0.001696 0.100181 0.006966 -0.281781 -0.279976 -0.434725 -0.433973 0.002557
1.964791 1.915257 -0.000683 0.099998 2.049345 0.001130 0.100185 0.004233 0.284980 0.283259 0.129533 0.126416 -0.004838
2.066828 1.909926 -0.001022 0.099996 2.032135 0.004567 0.100195 0.001234 0.901425 0.895651 0.743621 0.736065 -0.013330
2.168089 1.905289 -0.001526 0.099995 2.018490 0.007851 0.100209 -0.002327 1.449905 1.439406 1.290518 1.277847 -0.023171
2.268678 1.901279 -0.002273 0.099992 2.005051 0.010804 0.100228 -0.005808 1.985363 1.970206 1.824573 1.806854 -0.032876
2.368706 1.897814 -0.003382 0.099988 1.996330 0.012738 0.100250 -0.009459 2.382616 2.362804 2.221336 2.198616 -0.042531
2.468312 1.894782 -0.005025 0.099982 1.987878 0.013657 0.100273 -0.013255 2.728478 2.703921 2.566861 2.539062 -0.052356
2.567597 1.892098 -0.007464 0.099973 1.983748 0.013119 0.100294 -0.017453 2.924931 2.895369 2.763750 2.730659 -0.062653
2.666687 1.889650 -0.011081 0.099961 1.979862 0.011271 0.100312 -0.022909 3.059473 3.023425 2.898833 2.858939 -0.075942
2.765653 1.887375 -0.016455 0.099941 1.978935 0.007806 0.100323 -0.030029 3.077853 3.033335 2.918252 2.869554 -0.093216
2.864581 1.885191 -0.024431 0.099913 1.978174 0.002936 0.100326 -0.041045 3.046800 2.988875 2.888316 2.825733 -0.120508
2.963502 1.883069 -0.036284 0.099871 1.978718 -0.003921 0.100316 -0.056599 2.955236 2.878004 2.798099 2.715568 -0.159762
3.062453 1.880968 -0.053885 0.099808 1.979336 -0.012557 0.100292 -0.081667 2.840906 2.732079 2.685253 2.570089 -0.223991
3.161433 1.878891 -0.080010 0.099715 1.979863 -0.024619 0.100243 -0.117075 2.723539 2.569414 2.569470 2.407532 -0.316063
3.260439 1.876838 -0.118771 0.099577 1.980385 -0.039914 0.100168 -0.173695 2.616116 2.389193 2.463986 2.226851 -0.464058
3.359449 1.874831 -0.176163 0.099372 1.979982 -0.062622 0.100048 -0.252152 2.551961 2.223165 2.401998 2.059629 -0.671165
3.458437 1.872896 -0.261044 0.099067 1.979527 -0.092481 0.099875 -0.375507 2.532736 2.043781 2.385803 1.877937 -0.996821
3.557375 1.871063 -0.386141 0.098617 1.977934 -0.139072 0.099608 -0.542293 2.588823 1.881535 2.445632 1.712161 -1.440759
3.656229 1.869368 -0.569959 0.097952 1.976279 -0.201827 0.099231 -0.798486 2.729383 1.687176 2.591792 1.512146 -2.121853
3.754979 1.867837 -0.838475 0.096971 1.973747 -0.301417 0.098652 -1.131814 2.966640 1.484361 2.836241 1.301751 -3.016769
3.853599 1.866502 -1.228033 0.095530 1.971179 -0.436436 0.097837 -1.623538 3.336147 1.204675 3.216365 1.010665 -4.337172
3.952076 1.865382 -1.787084 0.093423 1.968203 -0.649122 0.096593 -2.216929 3.807854 0.880314 3.701130 0.672321 -5.956350
4.050398 1.864498 -2.577482 0.090361 1.965270 -0.936067 0.094851 -3.025578 4.450159 0.433037 4.361308 0.205300 -8.173130
4.148551 1.863871 -3.670360 0.085952 1.962235 -1.376175 0.092234 -3.855800 5.133481 -0.040012 5.063788 -0.289050 -10.526330
4.246528 1.863516 -5.134316 0.079679 1.959456 -1.961433 0.088604 -4.818659 5.938940 -0.596280 5.891644 -0.872216 -13.299080
4.344278 1.863495 -7.004743 0.070916 1.956252 -2.813416 0.083325 -5.467573 6.560393 -0.992914 6.530196 -1.291239 -15.374742
4.441776 1.863844 -9.242952 0.058960 1.953858 -3.913864 0.076158 -5.925749 7.086506 -1.256348 7.069347 -1.577021 -16.989222
4.538880 1.864722 -11.672654 0.043205 1.950124 -5.377249 0.066299 -5.600154 7.100825 -1.029591 7.080757 -1.357402 -16.568575
4.635499 1.866241 -13.978977 0.023287 1.948037 -7.165380 0.053419 -4.754116 6.766631 -0.376415 6.730634 -0.701717 -14.575397
4.731460 1.868603 -15.743976 -0.000537 1.945292 -9.238647 0.037033 -3.101748 5.873372 0.908604 5.802256 0.605618 -10.161406
4.826606 1.872001 -16.602356 -0.027315 1.943854 -11.534334 0.016879 -0.959169 4.634259 2.717102 4.513670 2.452035 -3.978792
4.921003 1.876412 -16.373541 -0.055480 1.945419 -13.731796 -0.006549 1.276602 3.247840 4.738958 3.072247 4.521170 2.940041
