dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.002046 1.997154 0.000000 0.100000 2.046152 0.108672 0.100000 -0.124642 7.259818 7.272332 7.212438 6.986579 -0.213344
0.022497 1.997154 0.000000 0.100000 2.043812 0.155059 0.100268 -0.124642 7.259818 7.272332 7.212438 6.986579 -0.213344
0.042841 1.997154 0.000000 0.100000 2.030482 0.141291 0.100389 -0.124642 7.259818 7.272332 7.212438 6.986579 -0.213344
0.063098 1.971247 -0.000000 0.100000 2.024500 0.147429 0.100578 -0.124642 7.259818 7.272332 7.212438 6.986579 -0.213344
0.083338 1.971247 -0.000000 0.100000 2.022258 0.188291 0.100734 -0.124642 7.259818 7.272332 7.212438 6.986579 -0.213344
0.103566 1.971247 -0.000000 0.100000 2.023738 0.204885 0.100976 -0.252524 7.614903 7.534209 7.521464 7.311012 -0.291145
0.123761 1.971247 -0.000000 0.100000 2.019601 0.241027 0.101362 -0.252524 7.614903 7.534209 7.521464 7.311012 -0.291145
0.143979 1.971247 -0.000000 0.100000 2.023372 0.201354 0.101478 -0.252524 7.614903 7.534209 7.521464 7.311012 -0.291145
0.164216 1.974042 -0.000000 0.100000 2.024777 0.214712 0.101700 -0.252524 7.614903 7.534209 7.521464 7.311012 -0.291145
0.184476 1.974042 -0.000000 0.100000 2.026739 0.224432 0.101844 -0.252524 7.614903 7.534209 7.521464 7.311012 -0.291145
0.204740 1.974042 -0.000000 0.100000 2.026464 0.224076 0.102083 -0.343945 7.817446 7.683566 7.846493 7.657687 -0.322686
0.225011 1.974042 -0.000000 0.100000 2.027634 0.210531 0.102510 -0.343945 7.817446 7.683566 7.846493 7.657687 -0.322686
0.245263 1.974042 -0.000000 0.100000 2.026064 0.218769 0.102727 -0.343945 7.817446 7.683566 7.846493 7.657687 -0.322686
0.265507 1.973244 -0.000001 0.100000 2.021603 0.208800 0.102957 -0.343945 7.817446 7.683566 7.846493 7.657687 -0.322686
0.285736 1.973244 -0.000001 0.100000 2.023938 0.228744 0.103207 -0.343945 7.817446 7.683566 7.846493 7.657687 -0.322686
0.305972 1.973244 -0.000001 0.100000 2.024689 0.247778 0.103433 -0.363530 7.920576 7.975552 8.105077 7.929472 -0.120629
0.326201 1.973244 -0.000001 0.100000 2.018782 0.237231 0.103839 -0.363530 7.920576 7.975552 8.105077 7.929472 -0.120629
0.346389 1.973244 -0.000001 0.100000 2.019869 0.226876 0.103994 -0.363530 7.920576 7.975552 8.105077 7.929472 -0.120629
0.366618 1.977661 -0.000001 0.100000 2.024867 0.197419 0.104136 -0.363530 7.920576 7.975552 8.105077 7.929472 -0.120629
0.386889 1.977661 -0.000001 0.100000 2.028593 0.227591 0.104365 -0.363530 7.920576 7.975552 8.105077 7.929472 -0.120629
0.407183 1.977661 -0.000001 0.100000 2.029735 0.209700 0.104536 -0.366646 7.778619 8.039805 7.985520 7.863894 0.139560
0.427495 1.977661 -0.000001 0.100000 2.032811 0.152239 0.104725 -0.366646 7.778619 8.039805 7.985520 7.863894 0.139560
0.447836 1.977661 -0.000001 0.100000 2.035568 0.121305 0.104835 -0.366646 7.778619 8.039805 7.985520 7.863894 0.139560
0.468190 1.992689 -0.000001 0.100000 2.035982 0.102745 0.104977 -0.366646 7.778619 8.039805 7.985520 7.863894 0.139560
0.488531 1.992689 -0.000001 0.100000 2.034358 0.077416 0.105012 -0.366646 7.778619 8.039805 7.985520 7.863894 0.139560
0.508871 1.992689 -0.000001 0.100000 2.032836 0.059331 0.105120 -0.321360 7.380236 7.921477 7.746427 7.507480 0.302294
0.529203 1.992689 -0.000001 0.100000 2.033657 -0.062260 0.105225 -0.321360 7.380236 7.921477 7.746427 7.507480 0.302294
0.549545 1.992689 -0.000001 0.100000 2.034533 -0.064161 0.105241 -0.321360 7.380236 7.921477 7.746427 7.507480 0.302294
