dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.000000 2.000000 -0.000000 0.100000 2.000000 0.000000 0.100000 -0.000000 9.878062 9.878060 9.878062 9.878060 -0.000004
0.099433 2.000576 -0.000000 0.100000 1.976133 0.000000 0.100000 -0.000001 9.310975 9.310972 9.310975 9.310972 -0.000006
0.198549 2.001514 -0.000000 0.100000 1.990456 -0.000000 0.100000 -0.000001 7.224172 7.224168 7.224172 7.224168 -0.000008
0.298429 2.001712 -0.000001 0.100000 2.004620 -0.000000 0.100000 -0.000001 6.317323 6.317317 6.317323 6.317317 -0.000011
0.398812 2.001400 -0.000001 0.100000 2.010257 -0.000001 0.100000 -0.000001 6.129306 6.129298 6.129306 6.129298 -0.000016
0.499367 2.000890 -0.000001 0.100000 2.011776 -0.000001 0.100000 -0.000002 6.091724 6.091713 6.091724 6.091713 -0.000023
0.599971 2.000303 -0.000002 0.100000 2.012330 -0.000001 0.100000 -0.000003 6.043507 6.043490 6.043507 6.043490 -0.000034
0.700596 1.999663 -0.000003 0.100000 2.012689 -0.000002 0.100000 -0.000004 5.989271 5.989245 5.989271 5.989245 -0.000051
0.801235 1.998979 -0.000004 0.100000 2.012846 -0.000003 0.100000 -0.000006 5.944988 5.944950 5.944988 5.944950 -0.000076
0.901876 1.998260 -0.000006 0.100000 2.012774 -0.000005 0.100000 -0.000009 5.912437 5.912380 5.912437 5.912380 -0.000114
1.002508 1.997518 -0.000010 0.100000 2.012514 -0.000007 0.100000 -0.000014 5.888359 5.888274 5.888359 5.888274 -0.000171
1.103124 1.996762 -0.000014 0.100000 2.012116 -0.000011 0.100000 -0.000021 5.870138 5.870010 5.870138 5.870010 -0.000256
1.203717 1.995997 -0.000022 0.100000 2.011618 -0.000016 0.100000 -0.000031 5.856335 5.856143 5.856335 5.856143 -0.000382
1.304284 1.995230 -0.000032 0.100000 2.011044 -0.000024 0.100000 -0.000047 5.846063 5.845778 5.846063 5.845778 -0.000572
1.404821 1.994466 -0.000048 0.100000 2.010416 -0.000035 0.100000 -0.000070 5.838648 5.838221 5.838648 5.838221 -0.000854
1.505325 1.993708 -0.000072 0.100000 2.009747 -0.000053 0.100000 -0.000104 5.833550 5.832912 5.833550 5.832912 -0.001276
1.605795 1.992960 -0.000107 0.100000 2.009051 -0.000079 0.100000 -0.000156 5.830350 5.829397 5.830350 5.829397 -0.001906
