dist vxRef thetaRef YRef vx theta Y steer Tfl Tfr Trl Trrr dT
0.000000 2.000000 -0.000000 0.100000 2.000000 0.000000 0.100000 -0.000000 5.195545 5.195544 5.195545 5.195544 -0.000001
0.099433 2.000576 -0.000000 0.100000 1.976133 0.000000 0.100000 -0.000001 7.116116 7.116115 7.116116 7.116115 -0.000001
0.197612 2.002465 -0.000001 0.100000 1.951075 0.000000 0.100000 -0.000001 8.278102 8.278101 8.278102 8.278101 -0.000002
0.295037 2.005224 -0.000001 0.100000 1.946925 -0.000000 0.100000 -0.000002 9.007905 9.007903 9.007905 9.007903 -0.000003
0.392308 2.008268 -0.000001 0.100000 1.943941 -0.000000 0.100000 -0.000002 9.366219 9.366217 9.366219 9.366217 -0.000004
0.489724 2.011304 -0.000002 0.100000 1.953272 -0.000000 0.100000 -0.000003 9.487049 9.487046 9.487049 9.487046 -0.000006
0.587636 2.013960 -0.000003 0.100000 1.963215 -0.000001 0.100000 -0.000004 9.384264 9.384260 9.384264 9.384260 -0.000008
0.686147 2.016107 -0.000004 0.100000 1.977425 -0.000001 0.100000 -0.000006 9.160070 9.160064 9.160070 9.160064 -0.000013
0.785378 2.017591 -0.000006 0.100000 1.991781 -0.000002 0.100000 -0.000010 8.834617 8.834607 8.834617 8.834607 -0.000019
0.885326 2.018379 -0.000009 0.100000 2.006113 -0.000003 0.100000 -0.000015 8.463291 8.463277 8.463291 8.463277 -0.000028
0.985988 2.018437 -0.000014 0.100000 2.020353 -0.000005 0.100000 -0.000022 8.063116 8.063095 8.063116 8.063095 -0.000042
1.087308 2.017787 -0.000020 0.100000 2.032312 -0.000008 0.100000 -0.000034 7.660190 7.660158 7.660190 7.660158 -0.000064
1.189217 2.016467 -0.000031 0.100000 2.044065 -0.000011 0.100000 -0.000052 7.270213 7.270164 7.270213 7.270164 -0.000097
1.291640 2.014524 -0.000046 0.100000 2.052674 -0.000017 0.100000 -0.000078 6.899935 6.899862 6.899935 6.899862 -0.000148
1.394483 2.012030 -0.000070 0.100000 2.061047 -0.000025 0.100000 -0.000120 6.562797 6.562685 6.562797 6.562685 -0.000224
1.497669 2.009041 -0.000106 0.100000 2.066213 -0.000039 0.100000 -0.000180 6.254688 6.254518 6.254688 6.254518 -0.000339
1.601104 2.005638 -0.000161 0.099999 2.071161 -0.000057 0.100000 -0.000278 5.986425 5.986167 5.986425 5.986167 -0.000515
1.704718 2.001879 -0.000243 0.099999 2.073265 -0.000089 0.099999 -0.000416 5.748784 5.748395 5.748784 5.748395 -0.000780
1.808429 1.997839 -0.000369 0.099999 2.075190 -0.000132 0.099999 -0.000639 5.549887 5.549296 5.549887 5.549296 -0.001182
1.912182 1.993571 -0.000558 0.099998 2.074812 -0.000204 0.099999 -0.000954 5.379057 5.378164 5.379057 5.378164 -0.001788
2.015910 1.989141 -0.000845 0.099997 2.074301 -0.000305 0.099998 -0.001463 5.241979 5.240625 5.241979 5.240625 -0.002707
2.119571 1.984592 -0.001278 0.099995 2.072059 -0.000472 0.099997 -0.002181 5.128603 5.126559 5.128602 5.126559 -0.004088
2.223116 1.979979 -0.001932 0.099993 2.069729 -0.000703 0.099996 -0.003335 5.042629 5.039539 5.042629 5.039539 -0.006179
2.326516 1.975338 -0.002919 0.099990 2.066190 -0.001085 0.099994 -0.004960 4.975636 4.970979 4.975636 4.970979 -0.009314
2.429735 1.970712 -0.004406 0.099984 2.062602 -0.001614 0.099991 -0.007568 4.929871 4.922847 4.929871 4.922846 -0.014048
2.532757 1.966126 -0.006644 0.099977 2.058243 -0.002483 0.099986 -0.011230 4.898898 4.888333 4.898897 4.888332 -0.021130
2.635560 1.961615 -0.010008 0.099965 2.053866 -0.003686 0.099978 -0.017088 4.884049 4.868150 4.884047 4.868148 -0.031798
2.738133 1.957198 -0.015061 0.099947 2.049062 -0.005658 0.099967 -0.025296 4.880918 4.857062 4.880914 4.857057 -0.047713
2.840466 1.952899 -0.022640 0.099920 2.044263 -0.008381 0.099951 -0.038386 4.890499 4.854690 4.890488 4.854680 -0.071617
2.942556 1.948733 -0.033996 0.099880 2.039297 -0.012830 0.099926 -0.056671 4.910419 4.856836 4.910396 4.856812 -0.107167
3.044397 1.944717 -0.050987 0.099820 2.034352 -0.018959 0.099889 -0.085725 4.942067 4.861887 4.942014 4.861835 -0.160359
